SECTORES ECONÓMICOS;2009;;;;;;;;;;;;;2010;; ECONOMIC SECTORS
;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Ene.- Ene.;
;;;;;;;;;;;;;;;;
Agropecuario ;-1.362736901;4.961511313;9.053442947;2.084984438;6.076785707;-4.993202172;1.186796531;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.038743693;;Agriculture and Livestock
  Agrícola;-5.921608447;4.079454569;11.04216854;0.617198964;7.181175762;-9.058779406;0.605152181;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;8.25458647;;  Agriculture
  Pecuario;4.369167155;6.081122075;6.229132171;5.384615198;3.422684997;3.933606145;2.062474381;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;3.526215104;;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-17.49976993;-9.841901554;-14.98511959;-16.85497888;33.44936997;-8.949666862;-4.937815447;-12.49409818;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-27.14;;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;10.00553699;-0.963722979;2.357441326;2.217003738;1.409491096;-1.951947545;0.130018547;1.313392586;-1.155232946;0.084718694;0.062996189;-4.809813757;0.601765922;1.260790496;;Mining and fuel
  Minería metálica;7.828201097;-3.727631514;-1.110021486;1.406032845;-0.476518238;-3.919674919;-1.79091859;-1.213750127;-3.106084841;-1.202239739;-1.561669739;-6.835635906;-1.413992054;0.572530543;;  Metals
  Hidrocarburos;36.51712487;15.02183988;40.15991792;15.26312565;21.42644441;13.59899091;17.34465974;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-0.531600522;-6.696915337;-5.450972962;-13.58427485;-8.038709931;-13.11370364;-12.24439849;-10.43705479;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.236994701;;Manufacturing
  De recursos primarios 2/;10.36116687;3.083130238;-1.511391338;-9.705305122;23.19909455;-6.259802933;-7.243510885;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-9.937605372;;  Based on raw materials 2/
  No primaria;-2.471411611;-8.446534839;-6.197426122;-14.3682333;-14.11868053;-14.57312907;-13.07783402;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.514451344;2.286286157;;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;3.467877847;-1.654286782;1.716770038;0.51301493;2.123505547;-1.75051047;-1.847936638;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.174758957;5.14;;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;4.495015268;4.674888281;6.261049382;-1.54689996;-0.329284849;-1.335355306;6.377345202;5.163061692;3.281771475;10.67790833;13.82782742;19.74308161;6.143583284;10.17;;Construction
;;;;;;;;;;;;;;;;
Comercio;1.67938634;-0.844847843;0.313100816;-2.292735552;-0.72289058;-3.406403867;-2.816438214;-1.702393294;-0.747975863;-0.21936538;2.666165877;4.257287706;-0.400167855;5.63;;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;4.51059836;1.651311439;4.813442322;1.20993906;2.081507217;1.896553493;1.317494453;1.589025057;2.432398418;3.893003863;5.616810979;5.987825607;3.102035713;3.435939155;;Other services 3/
;;;;;;;;;;;;;;;;
PBI;3.002814458;0.082626965;2.600203848;-1.740225899;0.525213603;-2.443754496;-1.244691424;-0.516563966;0.019323852;1.588221135;3.743261577;4.940144048;0.861695031;3.630464877;;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;4.213028154;2.05545195;4.187872253;-0.445665238;8.141854489;-4.444486556;-0.627146031;3.317462994;0.540658318;-2.102091796;0.296014143;-2.434227577;1.035616744;0.28434749;;Primary sectors
Sectores no primarios;2.772991768;-0.293364758;2.276114732;-2.033414723;-1.220987622;-1.974748887;-1.366718997;-1.23641346;-0.074999977;2.253662441;4.425196246;6.330304138;0.826769622;4.274804781;;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;0.424693607;-1.140776024;-0.738094783;0.782774472;-0.464841117;-2.234639184;2.476007708;0.545703583;1.737830571;2.471136673;-1.293967895;2.782663971;;-0.396294371;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;1.609442314;-2.523400944;-1.568846346;-4.49046852;-4.718821741;-8.205266334;-6.346134889;-3.538008312;-5.143328739;-3.728799271;2.226623703;2.940747752;-2.857246296;5.108582481;;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;-0.817968826;-3.893611255;-1.494320721;1.528227618;-2.613018795;-0.486055636;3.334581373;0.458601251;1.216623574;3.145695517;-0.656607977;2.991133488;;2.189108152;;Seasonally adjusted domestic demand indicator 6/
