SECTORES ECONÓMICOS;2009;;;;;;;;;;;;2010;;; ECONOMIC SECTORS
;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Ene.- Feb.;
;;;;;;;;;;;;;;;;
Agropecuario ;4.961511313;9.053442947;2.084984438;6.076785707;-4.993202172;1.186796531;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.038743693;2.021210493;3.959552404;Agriculture and Livestock
  Agrícola;4.079454569;11.04216854;0.617198964;7.181175762;-9.058779406;0.605152181;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;8.25458647;-1.060189283;3.322817389;  Agriculture
  Pecuario;6.081122075;6.229132171;5.384615198;3.422684997;3.933606145;2.062474381;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;3.526215104;5.869674273;4.71186211;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-9.841901554;-14.98511959;-16.85497888;33.44936997;-8.949666862;-4.937815447;-12.49409818;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-27.14434668;-15.73;-21.47102474;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-0.963722979;2.357441326;2.217003738;1.409491096;-1.951947545;0.130018547;1.313392586;-1.155232946;0.084718694;0.062996189;-4.809813757;0.601765922;1.260394655;2.907717944;2.055330482;Mining and fuel
  Minería metálica;-3.727631514;-1.110021486;1.406032845;-0.476518238;-3.919674919;-1.79091859;-1.213750127;-3.106084841;-1.202239739;-1.561669739;-6.835635906;-1.413992054;0.572086722;1.0352551;0.795965842;  Metals
  Hidrocarburos;15.02183988;40.15991792;15.26312565;21.42644441;13.59899091;17.34465974;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;17.58031361;11.46158256;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-6.684056129;-5.495702435;-13.63868679;-8.092093773;-13.16722066;-12.29963463;-10.4925736;-8.376406421;-5.943343863;-2.668308163;1.575231367;-7.191140553;0.243284474;7.193712718;3.560195399;Manufacturing
  De recursos primarios 2/;3.083130238;-1.511391338;-9.705305122;23.19909455;-6.259802933;-7.243510885;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-9.937605372;-5.641951322;-7.907085764;  Based on raw materials 2/
  No primaria;-8.446534839;-6.197426122;-14.378109;-14.11868053;-14.57312907;-13.07783402;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.29415987;9.777815703;5.852995699;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;-1.654286782;1.716770038;0.51301493;2.123505547;-1.75051047;-1.847936638;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.177775521;5.140185838;6.117537596;5.608941323;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;4.674888281;6.260814697;-1.54689996;-0.348504903;-1.339122724;6.377345202;5.153698793;3.25751095;10.7387087;13.82782742;19.74308161;6.144158012;10.1709992;16.07;13.0492418;Construction
;;;;;;;;;;;;;;;;
Comercio;-0.84;0.313100816;-2.292735552;-0.724183926;-3.406403867;-2.816438214;-1.702393294;-0.747975863;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.18;6.864765828;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;1.649798874;4.813439205;1.2099276;2.08195096;1.896486083;1.317359476;1.588960382;2.432322383;3.884855006;5.617607394;5.987831394;3.101161413;3.435912123;4.732404974;4.084784262;Other services 3/
;;;;;;;;;;;;;;;;
PBI;0.084658686;2.593141143;-1.748498278;0.516189941;-2.452215935;-1.253155896;-0.525867126;0.010899821;1.581617228;3.736468227;4.933829327;0.855191382;3.631474341;5.920075099;4.760666503;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;2.05545195;4.187872253;-0.445665238;8.141854489;-4.444486556;-0.627146031;3.317462994;0.540658318;-2.102091796;0.296014143;-2.434227577;1.035616744;0.284086005;0.49614255;0.389288738;Primary sectors
Sectores no primarios;-0.29094582;2.267610325;-2.04356061;-1.23208006;-1.985193831;-1.376856057;-1.247463314;-0.084948148;2.245867709;4.417059035;6.322799015;0.818959967;4.276058686;6.978123703;5.607835168;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;-1.138807408;-0.74694257;0.781227175;-0.4653962;-2.23434281;2.476112487;0.544918949;1.738775868;2.473106068;-1.294014852;2.783209559;;-0.389291549;-0.241811953;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;-2.523400944;-1.566930236;-4.49046852;-4.718821741;-8.205266334;-6.346134889;-3.538008312;-5.143328739;-3.728799271;2.226623703;2.940747752;-2.857095133;4.598123854;6.393237126;5.470762088;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;-3.893615705;-1.492404751;1.526291791;-2.613051521;-0.486055636;3.334582471;0.458571588;1.216652169;3.145721047;-0.656632352;2.991133488;;1.695393834;-3.333131761;;Seasonally adjusted domestic demand indicator 6/
