SECTORES ECONÓMICOS;2009;;;;;;;;;;;2010;;;; ECONOMIC SECTORS
;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Ene.- Mar.;
;;;;;;;;;;;;;;;;
Agropecuario ;9.053442947;2.084984438;6.076785707;-4.993202172;1.186796531;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.604784546;1.715332188;3.249229974;3.762913298;Agriculture and Livestock
  Agrícola;11.04216854;0.617198964;7.181175762;-9.058779406;0.605152181;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;9.95184868;-0.526710412;3.184401139;3.917724096;  Agriculture
  Pecuario;6.229132171;5.384615198;3.422684997;3.933606145;2.062474381;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;2.824417689;4.441158949;3.282103634;3.517367829;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-14.98511959;-16.85497888;33.44936997;-8.949666862;-4.937815447;-12.49409818;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-27.10697238;-15.7251348;0.499630672;-14.18347308;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;2.357441326;2.217003738;1.409491096;-1.951947545;0.130018547;1.313392586;-1.155232946;0.084718694;0.062996189;-4.809813757;0.601765922;1.260394655;2.907717944;-3.597442552;0.117318944;Mining and fuel
  Minería metálica;-1.110021486;1.406032845;-0.476518238;-3.919674919;-1.79091859;-1.213750127;-3.106084841;-1.202239739;-1.561669739;-6.835635906;-1.413992054;0.572086722;1.0352551;-5.46491347;-1.330036178;  Metals
  Hidrocarburos;40.15991792;15.26312565;21.42644441;13.59899091;17.34465974;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;17.58031361;9.993850195;10.95109349;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-5.450972962;-13.58427485;-8.038709931;-13.11370364;-12.24439849;-10.43705479;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.215597515;6.804;15.103;7.252197385;Manufacturing
  De recursos primarios 2/;-1.511391338;-9.705305122;23.19909455;-6.259802933;-7.243510885;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-10.24841532;-6.32061984;0.057270237;-5.613388579;  Based on raw materials 2/
  No primaria;-6.197426122;-14.378109;-14.11868053;-14.57312907;-13.07783402;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.322;9.451769835;18.112;9.862777037;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;1.716770038;0.51301493;2.123505547;-1.75051047;-1.847936638;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.177775521;5.184487382;6.115367943;7.747510781;6.362889992;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;6.260814697;-1.54689996;-0.348504903;-1.339122724;6.377345202;5.153698793;3.291281907;10.7387087;13.82782742;19.74308161;6.147241617;10.1709992;16.07;24.14;16.7707837;Construction
;;;;;;;;;;;;;;;;
Comercio;0.313100816;-2.292735552;-0.724183926;-3.406403867;-2.816438214;-1.702393294;-0.747975863;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;8.130247947;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;4.813467251;1.2099276;2.084237434;1.896935984;1.317359476;1.59018638;2.43100222;3.884855006;5.617607394;5.987831394;3.101386694;3.330864667;4.380557345;6.947345009;4.912032173;Other services 3/
;;;;;;;;;;;;;;;;
PBI;2.600203848;-1.740225899;0.525213603;-2.443754496;-1.244691424;-0.516563966;0.019323852;1.588221135;3.743261577;4.940144048;0.861695031;3.615838109;5.667700598;8.757381169;6.040712789;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;4.187872253;-0.445665238;8.141854489;-4.444486556;-0.627146031;3.317462994;0.540658318;-2.102091796;0.296014143;-2.434227577;1.035616744;0.456965053;0.239059222;0.334082485;0.343608358;Primary sectors
Sectores no primarios;2.276114732;-2.033414723;-1.220987622;-1.974748887;-1.366718997;-1.23641346;-0.074999977;2.253662441;4.425196246;6.330304138;0.826769622;4.224121599;6.726693446;10.50896042;7.172169321;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;-0.671091549;0.214459175;1.053268844;-0.892470453;1.168202232;1.302279589;0.789032578;1.624265979;-0.350530092;0.727452229;;0.620529158;0.268730038;1.380560436;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;-1.570749652;-4.49046852;-4.717796496;-8.205070038;-6.346134889;-3.537435587;-5.141804353;-3.728799271;2.226623703;2.940747752;-2.857269057;4.777620962;6.485771129;13.63811119;8.314498013;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;-1.942586313;1.043714361;-0.18263819;-0.070036782;1.847682334;2.093297598;0.398463686;2.142533832;0.348897133;0.604911495;;2.460070189;-1.98145199;3.376687725;;Seasonally adjusted domestic demand indicator 6/
