SECTORES ECONÓMICOS;2009;;;;;;;;;;2010;;;;; ECONOMIC SECTORS
;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;Ene.- Abr.;
;;;;;;;;;;;;;;;;
Agropecuario ;2.084984438;6.076785707;-4.993202172;1.186796531;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.604784546;1.715332188;3.249229974;6.730828359;4.728300774;Agriculture and Livestock
  Agrícola;0.617198964;7.181175762;-9.058779406;0.605152181;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;9.95184868;-0.526710412;3.184401139;7.956965633;5.377105551;  Agriculture
  Pecuario;5.384615198;3.422684997;3.933606145;2.062474381;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;2.824417689;4.441158949;3.282103634;4.100791371;3.665577829;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-16.85497888;33.44936997;-8.949666862;-4.937815447;-12.49409818;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-27.10697238;-15.7251348;0.499630672;-32.31317209;-19.73920697;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;2.217003738;1.409491096;-1.951947545;0.130018547;1.313392586;-1.155232946;0.084718694;0.062996189;-4.809813757;0.601765922;1.26038787;2.907722514;-3.597442552;-4.711239724;-1.098457281;Mining and fuel
  Minería metálica;1.406032845;-0.476518238;-3.919674919;-1.79091859;-1.213750127;-3.106084841;-1.202239739;-1.561669739;-6.835635906;-1.413992054;0.572086722;1.0352551;-5.46491347;-7.379214845;-2.866660153;  Metals
  Hidrocarburos;15.26312565;21.42644441;13.59899091;17.34465974;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;17.58031361;9.993850195;16.82340756;12.35057589;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-13.58427485;-8.038709931;-13.11370364;-12.24439849;-10.43705479;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.215597515;6.804;15.103;16.36849061;9.456330619;Manufacturing
  De recursos primarios 2/;-9.705305122;23.19909455;-6.259802933;-7.243510885;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-10.24841532;-6.32061984;0.057270237;-5.301009015;-5.534995253;  Based on raw materials 2/
  No primaria;-14.378109;-14.11868053;-14.57312907;-13.07783402;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.348;9.5;18.112;20.97682511;12.54222439;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;0.51301493;2.123505547;-1.75051047;-1.847936638;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.177775521;5.184487382;6.115368001;7.747510781;7.796347231;6.719209281;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;-1.54689996;-0.348504903;-1.339122724;6.377345202;5.153698793;3.291281907;10.7387087;13.82782742;19.74308161;6.147241617;10.17;16.07;24.14;21.08;17.85067402;Construction
;;;;;;;;;;;;;;;;
Comercio;-2.292735552;-0.724183926;-3.406403867;-2.816438214;-1.702393294;-0.747975863;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.1;8.938920228;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;1.2099276;2.084237434;1.896935984;1.317359476;1.59018638;2.43100222;3.884855006;5.617607394;5.987831394;3.101386694;3.330864667;4.380557345;6.947345009;7.918737606;5.693107903;Other services 3/
;;;;;;;;;;;;;;;;
PBI;-1.740225899;0.525213603;-2.443754496;-1.244691424;-0.516563966;0.019323852;1.588221135;3.743261577;4.940144048;0.861695031;3.6157771;5.667700859;8.757381169;9.259983275;6.888414486;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-0.445665238;8.141854489;-4.444486556;-0.627146031;3.317462994;0.540658318;-2.102091796;0.296014143;-2.434227577;1.035616744;0.456962557;0.239060814;0.334082485;0.491982782;0.386273201;Primary sectors
Sectores no primarios;-2.033414723;-1.220987622;-1.974748887;-1.366718997;-1.23641346;-0.074999977;2.253662441;4.425196246;6.330304138;0.826769622;4.224049322;6.726693447;10.50896042;11.27792108;8.232738075;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;0.214459175;1.053268844;-0.892470453;1.168202232;1.302279589;0.789032578;1.624265979;-0.350530092;0.727452229;;0.620469912;0.268789324;1.380560185;0.142473862;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;-4.49046852;-4.718821741;-8.205266334;-6.346134889;-3.538008312;-5.143328739;-3.728799271;2.226623703;2.940747752;-2.857246296;4.541163214;6.229866248;13.39449094;11.66581176;9.018230779;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;1.041760537;-0.183712235;-0.069175209;1.847900127;2.092691442;0.397446354;2.144175305;0.348897133;0.604911495;;2.22137595;-1.988582814;3.397228245;-0.748823435;;Seasonally adjusted domestic demand indicator 6/
