SECTORES ECONÓMICOS;2009;;;;;;;;;2010;;;;;; ECONOMIC SECTORS
;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Ene.- May.;
;;;;;;;;;;;;;;;;
Agropecuario ;6.076785707;-4.993202172;1.186796531;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.604784546;1.715332188;3.249229974;6.730828359;3.210998916;4.320944836;Agriculture and Livestock
  Agrícola;7.181175762;-9.058779406;0.605152181;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;9.95184868;-0.526710412;3.184401139;7.956965633;1.108043345;4.095116437;  Agriculture
  Pecuario;3.422684997;3.933606145;2.062474381;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;2.824417689;4.441158949;3.282103634;4.100791371;8.376333219;4.637765821;  Livestock
;;;;;;;;;;;;;;;;
Pesca;33.44936997;-8.949666862;-4.937815447;-12.49409818;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-27.10697238;-15.7251348;0.499630672;-32.31317209;-20.62129674;-20.00619538;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;1.409491096;-1.951947545;0.130018547;1.313392586;-1.155232946;0.084718694;0.062996189;-4.809813757;0.601765922;1.26038787;2.907722514;-3.597442552;-4.711239724;-2.063900901;-1.297685915;Mining and fuel
  Minería metálica;-0.476518238;-3.919674919;-1.79091859;-1.213750127;-3.106084841;-1.202239739;-1.561669739;-6.835635906;-1.413992054;0.572086722;1.0352551;-5.46491347;-7.379214845;-4.456261495;-3.194551917;  Metals
  Hidrocarburos;21.42644441;13.59899091;17.34465974;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;17.58031361;9.993850195;16.82340756;16.34902725;13.16784043;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-8.038709931;-13.11370364;-12.24439849;-10.43705479;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.215597515;6.804;15.103;16.36849061;14.54788102;10.51417248;Manufacturing
  De recursos primarios 2/;23.19909455;-6.259802933;-7.243510885;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-10.24841532;-6.32061984;0.057270237;-5.301009015;-9.929286216;-6.63841076;  Based on raw materials 2/
  No primaria;-14.11868053;-14.57312907;-13.07783402;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.348;9.5;18.112;20.97682511;21.4476914;14.30211366;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;2.123505547;-1.75051047;-1.847936638;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.177775521;5.184487382;6.115368001;7.74751065;7.792246994;7.171943485;6.810482482;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;-0.348504903;-1.339122724;6.377345202;5.153698793;3.291281907;10.7387087;13.82782742;19.74308161;6.147241617;10.17;16.07;24.14;21.08;20.88;18.47658316;Construction
;;;;;;;;;;;;;;;;
Comercio;-0.724183926;-3.406403867;-2.816438214;-1.702393294;-0.747975863;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.09566962;11.0893015;9.413807906;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;2.084237434;1.896935984;1.317359476;1.59018638;2.43100222;3.884855006;5.617607394;5.987831394;3.101386694;3.330992993;4.380556811;6.94734501;7.924108702;8.799252155;6.360732319;Other services 3/
;;;;;;;;;;;;;;;;
PBI;0.525213603;-2.443754496;-1.244691424;-0.516563966;0.019323852;1.588221135;3.743261577;4.940144048;0.861695031;3.615838109;5.667700598;8.757381166;9.261756206;9.193794798;7.392604509;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;8.141854489;-4.444486556;-0.627146031;3.317462994;0.540658318;-2.102091796;0.296014143;-2.434227577;1.035616744;0.456962557;0.239060814;0.334082485;0.491982782;-1.306487345;-0.031326405;Primary sectors
Sectores no primarios;-1.220987622;-1.974748887;-1.366718997;-1.23641346;-0.074999977;2.253662441;4.425196246;6.330304138;0.826769622;4.22412208;6.726693135;10.50896042;11.28010205;11.829282;8.997287176;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;1.053268844;-0.892470453;1.168202232;1.302279589;0.789032578;1.624265979;-0.350530092;0.727452229;;0.620529158;0.268730038;1.380560433;0.144098848;2.009706352;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;-4.718821741;-8.205266334;-6.346134889;-3.538008312;-5.143328739;-3.728799271;2.226623703;2.940747752;-2.857246296;4.541222644;6.229865986;13.39449094;11.71306968;16.20954751;10.56269674;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;-0.183712235;-0.069175209;1.847900127;2.092691442;0.397446354;2.144175305;0.348897133;0.604911495;;2.221434642;-1.98863933;3.397228498;-0.711156548;5.642472121;;Seasonally adjusted domestic demand indicator 6/
