SECTORES ECONÓMICOS;2009;;;;;;;2010;;;;;;;; ECONOMIC SECTORS
;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ene.- Jul.;
;;;;;;;;;;;;;;;;
Agropecuario ;1.186796531;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.624805416;1.971945358;3.065344899;7.209232381;4.179885616;4.207926832;3.579299828;4.473779654;Agriculture and Livestock
  Agrícola;0.605152181;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;9.774693005;-0.133453435;3.146860048;8.771848692;2.330666405;4.497236643;2.974353766;4.441305337;  Agriculture
  Pecuario;2.062474381;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;3.081113305;4.561617585;2.945604221;3.864336967;8.701870699;3.664703513;4.461500746;4.484683194;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-4.937815447;-12.49409818;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-25.84583514;-14.94228919;11.95557952;-26.6490653;-17.61026869;9.513128249;-14.5679716;-11.48608771;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;0.130018512;1.308213694;-1.140102545;0.084718696;0.062996155;-4.809813758;0.602392827;1.628170715;3.165523004;-3.344374153;-3.400730443;-2.096444383;7.883761595;0.644014988;0.599632188;Mining and fuel
  Minería metálica;-1.79091863;-1.219169277;-3.089281346;-1.202239737;-1.561669779;-6.835635908;-1.413293285;0.990939235;1.325977916;-5.177072915;-5.906343573;-4.488208787;4.625341687;-3.664159397;-1.803796325;  Metals
  Hidrocarburos;17.34465974;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;17.58031361;9.993850195;16.82340756;16.34902725;32.65712793;30.6215413;18.6362704;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-12.24439849;-10.43705479;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.604910141;6.778471956;15.3325133;15.7180211;13.90333443;21.61099102;17.2379295;12.91089276;Manufacturing
  De recursos primarios 2/;-7.243510885;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-10.43204394;-7.380491659;0.852968962;-4.777025749;-9.731196034;9.749511204;14.71884794;-1.642372388;  Based on raw materials 2/
  No primaria;-13.07783402;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.836374942;9.653407992;18.24464912;20.09953096;20.57848225;24.40058617;17.68711895;16.09208744;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;-1.847936638;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.177775521;5.222819094;6.166645148;7.945972624;7.86886699;7.21432098;10.9410832;10.64586618;7.979864175;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;6.377345202;5.153698793;3.291281907;10.7387087;13.82782742;19.74308161;6.147241617;10.17;16.07;24.14;21.08;20.88;22.7;12.33;18.09943483;Construction
;;;;;;;;;;;;;;;;
Comercio;-2.816438214;-1.702393294;-0.747975863;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.860315637;9.53311742;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 3/;1.317359466;1.586892866;2.436573518;3.884854996;5.617607385;5.987831386;3.101497735;3.369282244;4.323630662;7.022128357;7.887941344;8.500221042;10.33932066;8.405260115;7.19632365;Other services 3/
;;;;;;;;;;;;;;;;
PBI;-1.24469143;-0.518420042;0.022919473;1.588221131;3.743261571;4.940144043;0.861783988;3.724668895;5.673979426;8.878079462;9.308371779;9.087900126;11.91994611;9.048012452;8.312174813;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-0.627146043;3.315224285;0.546955328;-2.102091794;0.296014131;-2.434227578;1.035833849;0.598341933;0.27667161;0.739340341;1.367127195;-0.666928842;6.350687316;3.786683161;1.781822869;Primary sectors
Sectores no primarios;-1.366719002;-1.238282651;-0.071870865;2.253662435;4.425196241;6.330304133;0.826833029;4.326686375;6.726861976;10.5704861;11.13603336;11.53630414;13.1926015;10.09545173;9.719105729;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 4/;1.168202232;1.302279589;0.789032578;1.624265979;-0.350530092;0.727452229;;0.726213882;0.169477085;1.487041567;0.075760967;1.867317911;2.02709553;-0.668855948;;Seasonally adjusted GDP 4/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA 5/;-6.346134894;-3.539767813;-5.140083228;-3.728799275;2.226623696;2.940747747;-2.857163622;4.436831496;6.464080476;13.28651069;11.62312633;15.67132337;14.51564101;14.22305518;11.55998227;DOMESTIC DEMAND INDICATOR 5/
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 6/;1.847900127;2.092691442;0.397446354;2.144175305;0.348897133;0.604911495;;2.113508625;-1.667054809;3.059636923;-0.719685736;5.258616846;-1.260717833;2.691985837;;Seasonally adjusted domestic demand indicator 6/
