SECTORES ECONÓMICOS;2009;;;;;;2010;;;;;;;;; ECONOMIC SECTORS
;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Ene.- Ago.;
;;;;;;;;;;;;;;;;
Agropecuario ;3.59598778;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.624805416;1.971945358;3.065344899;7.209232381;4.179885616;4.207926832;3.579299828;-1.692112299;3.818487364;Agriculture and Livestock
  Agrícola;0.789347888;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;9.774693005;-0.133453435;3.146860048;8.771848692;2.330666405;4.497236643;2.974353766;-4.795502185;3.582549153;  Agriculture
  Pecuario;7.123086064;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;3.081113305;4.561617585;2.945604221;3.864336967;8.701870699;3.664703513;4.461500746;1.905552556;4.151921832;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-12.49409818;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-25.67583514;-14.92228919;12.14557952;-26.6490653;-17.61026869;9.513128249;-14.5679716;-35.4415842;-13.61162525;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;1.308213694;-1.140102545;0.084718696;0.062996155;-4.809813758;0.602392827;1.628170715;3.165523004;-3.344374153;-3.400730443;-2.096444383;7.883761595;0.644014988;-5.611844336;-0.233944285;Mining and fuel
  Minería metálica;-1.219169277;-3.089281346;-1.202239737;-1.561669779;-6.835635908;-1.413293285;0.990939235;1.325977916;-5.177072915;-5.906343573;-4.488208787;4.625341687;-3.664159397;-12.18510999;-3.191357449;  Metals
  Hidrocarburos;21.97397776;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;17.58031361;9.993850195;16.82340756;16.34902725;32.65712793;30.6215413;43.11398334;21.94779748;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-10.43705479;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.604910141;6.778471956;15.3325133;15.7180211;13.90333443;21.61099102;17.2379295;18.99219723;13.65881618;Manufacturing
  De recursos primarios;10.58636833;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-10.43204394;-7.380491659;0.852968962;-4.777025749;-9.731196034;9.749511204;14.71884794;-6.351183765;-2.149668403;  Based on raw materials
  No primaria;-13.50046249;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.836374942;9.653407992;18.24464912;20.09953096;20.57848225;24.40058617;17.68711895;23.75018132;17.04765178;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;0.287609364;0.783466849;0.158285686;3.953967319;6.228523655;1.177775521;5.222819094;6.166645148;7.945972624;7.86886699;7.21432098;10.9410832;10.64586618;7.915330603;7.971693749;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;5.153698793;3.291281907;10.7387087;13.82782742;19.74308161;6.147241617;10.17;16.07;24.14;21.08;20.88;22.7;12.33;14.15;17.55402555;Construction
;;;;;;;;;;;;;;;;
Comercio;-1.702393294;-0.747975863;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.860315637;8.969432707;9.466942683;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;1.586892866;2.436573518;3.884854996;5.617607385;5.987831386;3.101497735;3.369282244;4.323630662;7.022128357;7.887941344;8.500221042;10.33932066;8.405260115;9.692990493;7.508813124;Other services 2/
;;;;;;;;;;;;;;;;
PBI;-0.518420042;0.022919473;1.588221131;3.743261571;4.940144043;0.861783988;3.725400474;5.674066757;8.878863332;9.308371779;9.087900126;11.91994611;9.048012452;9.21780971;8.423957909;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;3.315224285;0.546955328;-2.102091794;0.296014131;-2.434227578;1.035833849;0.602872658;0.277206617;0.74389382;1.367127195;-0.666928842;6.350687316;3.786683161;-4.611003547;1.046640608;Primary sectors
Sectores no primarios;-1.238282651;-0.071870865;2.253662435;4.425196241;6.330304133;0.826833029;4.326686375;6.726861976;10.5704861;11.13603336;11.53630414;13.1926015;10.09545173;11.93419761;9.995837716;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;1.302279589;0.789032578;1.624265979;-0.350530092;0.727452229;;0.726924312;0.168853368;1.487688353;0.075040475;1.867317911;2.02709553;-0.668855948;0.12348282;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;-3.539767813;-5.140083228;-3.728799275;2.226623696;2.940747747;-2.857163622;4.437544131;6.464168058;13.28730279;11.62312633;15.67132337;14.51564101;14.31585248;14.85710331;11.9769395;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;2.092691442;0.397446354;2.144175305;0.348897133;0.604911495;;2.114212416;-1.667651646;3.060279472;-0.720386391;5.258616846;-1.260717833;2.771706961;-0.019780228;;Seasonally adjusted domestic demand indicator 3/
