SECTORES ECONÓMICOS;2009;;;;;2010;;;;;;;;;; ECONOMIC SECTORS
;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Ene.- Set.;
;;;;;;;;;;;;;;;;
Agropecuario ;2.321085235;0.841434297;2.680355717;2.151199111;2.29442892;6.771105951;2.46209688;3.611591318;7.847037259;3.092681067;4.914514597;4.956088638;-0.80472795;4.07818482;4.205568899;Agriculture and Livestock
  Agrícola;-0.200716926;-1.934663178;3.346639124;0.839868542;0.906907626;9.40936142;0.039468953;3.392487104;9.074642513;0.272808387;5.001127057;4.495080188;-2.910659893;3.39896948;3.657493716;  Agriculture
  Pecuario;5.059012425;4.018531731;1.916971915;3.645845395;4.404016489;3.811262488;5.432934143;3.932307279;5.224640155;9.971691059;4.752294639;5.625603871;1.626131558;4.764205066;5.017207381;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-0.17989986;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-24.14;-13.99;13.01;-25.59;-14.83;11.03;-15.79;-33.22;-36.13;-14.27036493;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-1.140102545;0.084718696;0.062996155;-4.809813758;0.602392827;1.638170714;3.185523002;-3.334374153;-3.380730443;-2.066445234;7.953758709;0.734014988;-5.544439548;-2.73300331;-0.481304923;Mining and fuel
  Minería metálica;-3.089281346;-1.202239737;-1.561669779;-6.835635908;-1.413293285;0.990939235;1.325977916;-5.177072915;-5.906343573;-4.488208787;4.625341687;-3.664159397;-12.18979957;-8.490418609;-3.786341773;  Metals
  Hidrocarburos;16.08466537;4.783178627;2.644374997;2.682871998;16.1374716;6.21789677;17.58031361;9.993850195;16.82340756;16.34902725;32.65712793;30.6215413;43.11398334;37.8307697;24.00892224;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-8.333945104;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.688;6.961;15.595;16.037;14.19495043;22.125;17.819;19.451;16.684;14.2989252;Manufacturing
  De recursos primarios;0.0933883;-11.63175249;-3.498476533;-4.354599507;0.034927416;-10.508;-6.805;1.484;-4.109422509;-9;10.53;15.059;-5.822;-1.481;-1.604479528;  Based on raw materials
  No primaria;-9.650397853;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.957;9.748840128;18.419;20.337;20.741;24.852;18.31;24.19;19.847;17.6277818;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;0.783466849;0.158285686;3.953967319;6.228523655;1.177775521;5.222819094;6.166645148;7.945972624;7.86886699;7.21432098;10.9410832;10.64586618;7.915250437;6.821411994;7.84347413;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;3.291281907;10.7387087;13.82782742;19.74308161;6.147241617;10.17;16.07;24.14;21.08;20.88;22.7;12.33;14.15;22.97;18.23096488;Construction
;;;;;;;;;;;;;;;;
Comercio;-0.747975863;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.860315637;8.969432707;10.96;9.627440526;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;2.436573518;3.884854996;5.617607385;5.987831386;3.101497735;3.400069186;4.360525886;7.073096633;7.928129064;8.555533246;10.4019852;8.447613008;9.632500652;9.533857552;7.763324363;Other services 2/
;;;;;;;;;;;;;;;;
PBI;0.022919473;1.588221131;3.743261571;4.940144043;0.861783988;3.77;5.76;8.99;9.44;9.06;12.1;9.26;9.33;10.41;8.736421038;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;0.546955328;-2.102091794;0.296014131;-2.434227578;1.035833849;0.692761853;0.630467808;1.129987303;1.840190459;-1.00630411;6.904173492;4.510765871;-4.061383376;-0.374596398;1.20602139;Primary sectors
Sectores no primarios;-0.071870865;2.253662435;4.425196241;6.330304133;0.826833029;4.36256475;6.760646084;10.62444699;11.18908099;11.58658242;13.28732077;10.20549002;11.96045587;12.37285462;10.31457968;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.789032578;1.624265979;-0.350530092;0.727452229;;0.770234563;0.207223028;1.508734546;0.093380993;1.718775615;2.217376997;-0.635612671;0.032120991;1.978283278;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;-5.140083228;-3.728799275;2.226623696;2.940747747;-2.857163622;4.469791685;6.54588585;13.37773929;11.69526552;15.56466487;14.64828339;14.33561934;14.89727287;15.24521486;12.37621522;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.397446354;2.144175305;0.348897133;0.604911495;;2.146313142;-1.623133884;3.063974995;-0.742857875;5.09528947;-1.050432133;2.691292419;-0.017682869;1.474282935;;Seasonally adjusted domestic demand indicator 3/
