SECTORES ECONÓMICOS;2009;;;;2010;;;;;;;;;;; ECONOMIC SECTORS
;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Ene.- Oct.;
;;;;;;;;;;;;;;;;
Agropecuario ;0.841434297;2.680355717;2.151199111;2.29442892;6.771105951;2.46209688;3.611591318;7.847037259;3.092681067;4.914514597;4.956088638;-0.80472795;4.07818482;4.602325498;4.237442404;Agriculture and Livestock
  Agrícola;-1.934663178;3.346639124;0.839868542;0.906907626;9.40936142;0.039468953;3.392487104;9.074642513;0.272808387;5.001127057;4.495080188;-2.910659893;3.39896948;3.337989391;3.634987639;  Agriculture
  Pecuario;4.018531731;1.916971915;3.645845395;4.404016489;3.811262488;5.432934143;3.932307279;5.224640155;9.971691059;4.752294639;5.625603871;1.626131558;4.764205066;5.945040036;5.109476087;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-18.78983649;-4.697208104;-21.74903479;-7.900522026;-24.14052456;-14.04355765;12.95387171;-25.64175092;-14.84065107;10.95455413;-15.78660343;-33.2158061;-36.13260734;-16.83;-14.46883844;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;0.084718696;0.062996155;-4.809813758;0.602392827;1.692054343;3.237602569;-3.270720053;-3.332080671;-2.009461044;7.950203851;0.754006271;-5.549475956;-2.74;-0.554353568;-0.461637782;Mining and fuel
  Minería metálica;-1.202239737;-1.561669779;-6.835635908;-1.413293285;0.990939235;1.325977916;-5.177072915;-5.906343573;-4.488208787;4.625341687;-3.664159397;-12.18979957;-8.490418609;-6.759068356;-4.092820455;  Metals
  Hidrocarburos;4.783178627;2.644374997;2.682871998;16.1374716;6.44279396;17.83229617;10.23008926;17.11467104;16.64954289;33.06849879;30.9409814;42.93461746;37.83;43.63;26.10888399;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-5.901418404;-2.62596126;1.618199571;-7.151212642;0.688;6.961;15.595;16.037;14.19495043;22.125;17.819;19.451;16.684;14.65559319;14.33668953;Manufacturing
  De recursos primarios;-11.63175249;-3.498476533;-4.354599507;0.034927416;-10.508;-6.805;1.484;-4.109422509;-9;10.53;15.059;-5.822;-1.481;9.292626878;-0.664140737;  Based on raw materials
  No primaria;-4.913321476;-2.454914327;2.964298187;-8.515280074;2.957;9.748840128;18.419;20.337;20.741;24.852;18.31;24.19;19.847;15.52333864;17.39857496;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;0.158285686;3.953967319;6.228523655;1.177775521;5.222819094;6.166676912;7.946615092;7.86888974;7.213216554;10.94326527;10.62827799;7.913299636;6.822307621;8.219711276;7.880499438;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;10.7387087;13.82782742;19.74308161;6.147241617;10.17491012;16.06712078;24.14268612;21.07692475;20.88444068;22.64944424;12.27942783;14.11643019;22.97307046;10.71;17.3415544;Construction
;;;;;;;;;;;;;;;;
Comercio;-0.21936538;2.666215748;4.257284299;-0.399862142;5.63;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.86;8.969432707;10.96267681;7.971081074;9.461502734;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;3.884854996;5.617607385;5.987831386;3.101497735;3.384772005;4.3453613;7.071911838;7.924285225;8.541556381;10.4113988;8.457056232;9.629994596;9.528929519;7.876854324;7.771712753;Other services 2/
;;;;;;;;;;;;;;;;
PBI;1.588221131;3.743261571;4.940144043;0.861783988;3.766224092;5.75514168;8.993083945;9.440405491;9.056637053;12.10113363;9.262220657;9.326217538;10.40780149;8.312827833;8.691495616;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-2.102091794;0.296014131;-2.434227578;1.035833849;0.712573085;0.647185533;1.150222792;1.8529879;-0.991533073;6.900885863;4.517764988;-4.06320375;-0.377338903;2.883640347;1.364395057;Primary sectors
Sectores no primarios;2.253662435;4.425196241;6.330304133;0.826833029;4.354246812;6.751578807;10.62396436;11.1866345;11.57866795;13.28946472;10.20675937;11.956288;12.37075512;9.250122055;10.19825306;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;1.624265979;-0.350530092;0.727452229;;0.766567809;0.20626602;1.516270179;0.090919714;1.71526217;2.221562769;-0.634597989;0.026627212;1.979780831;1.052011089;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;-3.728799275;2.226623696;2.940747747;-2.857163622;4.692503421;6.784048012;13.61194407;11.88744978;15.75181431;14.85133068;14.63167549;15.18821451;15.53696098;12.51976908;12.60504074;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;2.144175305;0.348897133;0.604911495;;2.366854271;-1.613852998;3.048739864;-0.761337784;5.081940491;-1.046671089;2.785562973;-0.041676873;1.465384982;1.619015836;;Seasonally adjusted domestic demand indicator 3/
