SECTORES ECONÓMICOS;2010;;;;;;;;;;;;;2011;; ECONOMIC SECTORS
;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Ene.-Ene.;
;;;;;;;;;;;;;;;;
Agropecuario ;6.846658424;2.088150516;2.96084575;7.362862527;2.52213815;3.60892361;4.446049915;-0.920239831;3.441322634;4.946452809;6.758289944;7.854083094;4.286827564;4.698425093;4.698425093;Agriculture and Livestock
  Agrícola;9.599272544;-0.304164338;3.307131961;9.153202739;0.161247563;4.05181202;4.727530802;-2.458190915;3.476133837;5.547189343;5.519857659;9.003014667;4.176112876;1.863339027;1.863339027;  Agriculture
  Pecuario;3.758516657;5.021815249;2.453965883;3.538357075;8.281472625;2.779420104;4.037259704;0.863967914;3.405846824;4.3023472;8.22452649;6.553299455;4.437536655;8.058137171;8.058137171;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-23.96017372;-13.65709571;13.14808263;-25.26379253;-14.65829675;11.9487067;-15.15322677;-32.20044522;-34.1874565;-15.5912893;-33.86918639;-21.48477088;-16.44431964;26.52;26.52;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;2.350680558;3.834310752;-2.538860981;-2.088655387;-0.765622233;8.094603144;0.752796712;-5.546719086;-1.919375084;-0.664300955;-3.567981264;1.289579297;-0.148622392;-0.564308448;-0.564308448;Mining and fuel
  Minería metálica;1.107917363;1.48711875;-5.491298373;-6.136513953;-4.573292152;3.978205248;-3.923187947;-12.9652671;-8.092519309;-7.024601034;-10.75622049;-4.981242178;-4.908845891;-6.801508341;-6.801508341;  Metals
  Hidrocarburos;6.292933405;17.70124467;10.0804275;16.93380106;16.51550182;33.14302263;31.14832814;43.27228297;37.82610332;43.63448747;45.84460033;44.89061757;29.45930623;42.03004419;42.03004419;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;0.70990978;6.781799506;15.25050467;15.4906668;13.6638081;21.54797394;17.19364623;18.79713438;16.13312176;14.72065401;14.72503218;9.54907546;13.61666709;14.39180348;14.39180348;Manufacturing
  De recursos primarios;-10.41822494;-7.03422476;0.976465005;-4.727128103;-9.454655786;10.22562625;14.64047356;-5.602316353;-1.626620476;8.895056119;-5.767923266;-11.77852779;-2.338641499;11.99364426;11.99364426;  Based on raw materials
  No primaria;2.965355356;9.580635018;18.10699148;19.80545427;20.18913057;24.21120516;17.64856395;23.37203176;19.2259339;15.66300239;18.93247207;13.95987248;16.88936506;14.81520698;14.81520698;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;5.219462644;6.166554438;7.949359207;7.86783515;7.18891099;10.92724048;10.63725119;7.907614663;6.808437272;8.223350966;7.479457268;6.150152331;7.689059227;7.508550869;7.508550869;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;10.17491012;16.06712078;24.14268612;21.07692475;20.88444068;22.64944424;12.27942783;14.11643019;22.97307046;10.70891397;23.78232159;12.4949705;17.43063374;16.21;16.21;Construction
;;;;;;;;;;;;;;;;
Comercio;5.63;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.86;8.969432707;10.96267681;7.971081074;10.81606871;10.88569064;9.687805823;10.15;10.15;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;3.353461889;4.3229178;6.956418651;7.655930089;8.392210468;10.51715735;8.707871869;9.587678375;9.525362494;8.222798559;9.439536656;9.040533089;8.045123068;9.811011349;9.811011349;Other services 2/
;;;;;;;;;;;;;;;;
PBI;3.799624084;5.726092545;8.878235815;9.262514735;8.921111585;11.96110836;9.261685066;9.208272484;10.33789103;8.512242435;10.19206773;8.933660471;8.794749992;10.02;10.02;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;1.008217385;0.657534685;1.012161844;1.879532842;-1.033641685;6.25544011;4.222090526;-4.058273518;-0.315244292;2.947496032;-0.647052458;1.088096722;1.11501688;4.434556328;4.434556328;Primary sectors
Sectores no primarios;4.337148036;6.714844031;10.51394321;10.96169327;11.41969541;13.26493527;10.2649808;11.81420668;12.27681902;9.47293953;12.25147726;10.29073714;10.34011196;11.06123828;11.06123828;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.799002279;0.14650618;1.437163573;0.033633535;1.754257128;2.220908708;-0.510813352;-0.080795317;2.025275543;1.30220259;-0.647066861;0.758927248;;0.690876577;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;4.858687505;6.866404604;13.7401633;11.91673664;15.78596849;14.96948401;14.86301986;15.24096142;15.39434674;13.29775133;14.19698535;12.23087705;12.83125952;12.77318886;12.77318886;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;2.902952131;-1.74919465;3.056823805;-0.804204835;5.093854294;-0.988582153;2.922647608;-0.193997183;1.401821475;2.129595835;-1.837962572;0.356071295;;2.345267264;;Seasonally adjusted domestic demand indicator 3/
