SECTORES ECONÓMICOS;2010;;;;;;;;;;;;2011;;; ECONOMIC SECTORS
;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Ene.-Feb.;
;;;;;;;;;;;;;;;;
Agropecuario ;2.088150516;2.96084575;7.362862527;2.52213815;3.60892361;4.446049915;-0.920239831;3.441322634;4.946452809;6.758289944;7.854083094;4.286827564;4.698425093;5.069979359;4.886486059;Agriculture and Livestock
  Agrícola;-0.304164338;3.307131961;9.153202739;0.161247563;4.05181202;4.727530802;-2.458190915;3.476133837;5.547189343;5.519857659;9.003014667;4.176112876;1.863339027;2.798513009;2.336362872;  Agriculture
  Pecuario;5.021815249;2.453965883;3.538357075;8.281472625;2.779420104;4.037259704;0.863967914;3.405846824;4.3023472;8.22452649;6.553299455;4.437536655;8.058137171;7.714189389;7.883080264;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-13.65709571;13.14808263;-25.26379253;-14.65829675;11.9487067;-15.15322677;-32.20044522;-34.1874565;-15.5912893;-33.86918639;-21.48477088;-16.44431964;26.52210287;9.089439932;17.30423698;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;3.834310752;-2.538860981;-2.088655387;-0.765622233;8.094603144;0.752796712;-5.546719086;-1.919375084;-0.664300955;-3.567981264;1.289579297;-0.148622392;-0.564308448;-3.59315539;-2.036802219;Mining and fuel
  Minería metálica;1.48711875;-5.491298373;-6.136513953;-4.573292152;3.978205248;-3.923187947;-12.9652671;-8.092519309;-7.024601034;-10.75622049;-4.981242178;-4.908845891;-6.801508341;-9.69765908;-8.204112433;  Metals
  Hidrocarburos;17.70124467;10.0804275;16.93380106;16.51550182;33.14302263;31.14832814;43.27228297;37.82610332;43.63448747;45.84460033;44.89061757;29.45930623;42.03004419;37.52117446;39.83463869;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;6.781799506;15.25050467;15.4906668;13.6638081;21.54797394;17.19364623;18.79713438;16.13312176;14.72065401;14.72503218;9.54907546;13.61666709;14.39180348;11.04181273;12.74424354;Manufacturing
  De recursos primarios;-7.03422476;0.976465005;-4.727128103;-9.454655786;10.22562625;14.64047356;-5.602316353;-1.626620476;8.895056119;-5.767923266;-11.77852779;-2.338641499;11.99364426;8.84;10.4737702;  Based on raw materials
  No primaria;9.580635018;18.10699148;19.80545427;20.18913057;24.21120516;17.64856395;23.37203176;19.2259339;15.66300239;18.93247207;13.95987248;16.88936506;14.81520698;11.41944929;13.14756324;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;6.166554438;7.949359207;7.86783515;7.18891099;10.92724048;10.63725119;7.907614663;6.808437272;8.223350966;7.479457268;6.150152331;7.689059227;7.506291466;7.65975622;7.580238027;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;16.06712078;24.14268612;21.07692475;20.88444068;22.64944424;12.27942783;14.11643019;22.97307046;10.70891397;23.78232159;12.4949705;17.43063374;16.21;4.9;10.54433611;Construction
;;;;;;;;;;;;;;;;
Comercio;8.176674571;10.6;11.09566962;11.0893015;10.7421989;8.86;8.969432707;10.96267681;7.971081074;10.81606871;10.88569064;9.687805823;10.1517589;10.84;10.48911662;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;4.32291734;6.956413636;7.65593264;8.392216222;10.51716233;8.707865819;9.587673535;9.525356812;8.222797585;9.439533846;9.040538631;8.045122619;9.80972259;9.449533253;9.62861319;Other services 2/
;;;;;;;;;;;;;;;;
PBI;5.72609232;8.878233403;9.262515942;8.92111428;11.96111074;9.261682088;9.208270122;10.33788826;8.512241952;10.19206636;8.933663336;8.794749774;10.01962391;8.526603953;9.276114183;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;0.657534685;1.012161844;1.879532842;-1.033641685;6.25544011;4.222090526;-4.058273518;-0.315244292;2.947496032;-0.647052458;1.088096722;1.11501688;4.434598519;2.665278244;3.558364611;Primary sectors
Sectores no primarios;6.714843762;10.5139403;10.96169476;11.41969878;13.26493819;10.26497723;11.81420385;12.27681575;9.472938964;12.25147564;10.2907405;10.3401117;11.06078422;9.605103712;10.33512696;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.146505886;1.437161541;0.033636857;1.754258522;2.220908351;-0.510818176;-0.080794755;2.025275191;1.30220468;-0.647067654;0.75893115;;0.690529811;-0.87831159;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;6.866404379;13.74016087;11.91673783;15.78597124;14.96948642;14.86301685;15.24095904;15.39434397;13.29775085;14.196984;12.23087992;12.8312593;12.76710995;11.87002001;12.32688656;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;-1.749194934;3.056821796;-0.804201615;5.093855628;-0.988582418;2.922642795;-0.193996652;1.401821127;2.129597855;-1.83796333;0.356075039;;2.340417407;-2.065025459;;Seasonally adjusted domestic demand indicator 3/
