SECTORES ECONÓMICOS;2010;;;;;;;2011;;;;;;;; ECONOMIC SECTORS
;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ene.-Jul.;
;;;;;;;;;;;;;;;;
Agropecuario ;4.446049915;-0.920239831;3.441322634;4.946452809;6.758289944;7.854083094;4.286827564;4.619189778;5.307594723;-0.015914842;2.883693514;0.975671914;3.656656837;8.129277597;3.433081232;Agriculture and Livestock
  Agrícola;4.727530802;-2.458190915;3.476133837;5.547189343;5.519857659;9.003014667;4.176112876;1.166147324;3.021727609;-4.017241072;2.356548754;-0.805876264;1.667905307;9.731717952;1.707735476;  Agriculture
  Pecuario;4.037259704;0.863967914;3.405846824;4.3023472;8.22452649;6.553299455;4.437536655;8.759816996;7.984962413;5.916623313;4.0722459;5.031412324;7.448652969;5.782305616;6.393180932;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-15.15322677;-32.20044522;-34.1874565;-15.5912893;-33.86918639;-21.48477088;-16.44431964;18.03100963;10.68563963;9.253313859;106.5559495;0.502452729;-15.7797083;75.78;22.64042644;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;0.752796712;-5.546719086;-1.919375084;-0.664300955;-3.567981264;1.289579297;-0.148622392;0.006884377;-3.535315984;2.432153022;-3.915820987;2.756624594;-6.171990478;-0.906951488;-1.356570631;Mining and fuel
  Minería metálica;-3.923187947;-12.9652671;-8.092519309;-7.024601034;-10.75622049;-4.981242178;-4.908845891;-6.145570331;-9.633961504;-1.160599729;-10.58382244;-3.040953301;-10.38216434;-4.209805228;-6.470579211;  Metals
  Hidrocarburos;31.14832814;43.27228297;37.82610332;43.63448747;45.84460033;44.89061757;29.45930623;42.03004419;37.52117446;24.74905101;39.40662931;39.12087179;18.07618095;15.92961762;30.05972383;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;17.19364623;18.79713438;16.13312176;14.72065401;14.72503218;9.54907546;13.61666709;14.944;11.097;10.367;9.343;5.485;2.212;3.904;8.032539641;Manufacturing
  De recursos primarios;14.64047356;-5.602316353;-1.626620476;8.895056119;-5.767923266;-11.77852779;-2.338641499;13.651;10.152;12.651;37.259;5.253;-4.249;11.552;11.5491048;  Based on raw materials
  No primaria;17.64856395;23.37203176;19.2259339;15.66300239;18.93247207;13.95987248;16.88936506;15.158;11.256;9.961;4.569;5.521;3.553;2.57;7.359701873;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;10.63725119;7.907614663;6.808437272;8.223350966;7.479457268;6.151124956;7.689145453;7.508778538;7.62737304;6.500236593;6.484724817;7.994802564;7.221339567;7.427362398;7.24612921;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;12.27942783;14.11643019;22.97307046;10.70891397;23.78232159;12.4949705;17.43063374;16.18773997;4.89009347;3.604315414;0.098957755;3.690938226;-2.75262082;-2.9;3.077413606;Construction
;;;;;;;;;;;;;;;;
Comercio;8.86;8.969432707;10.96267681;7.971081074;10.81606871;10.88569064;9.687805823;10.1517589;10.84;9.189543431;9.208045243;8.779178851;8.415480122;8.48;9.253596499;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;8.707865819;9.587673535;9.525356812;8.222797585;9.439533846;9.040501936;8.045119026;9.665597015;9.155597773;9.239601334;8.945963099;9.771877198;8.051012986;6.187490266;8.689026929;Other services 2/
;;;;;;;;;;;;;;;;
PBI;9.261682088;9.208270122;10.33788826;8.512241952;10.19206636;8.933663336;8.794749774;10.04125361;8.337083071;7.88380214;7.548678151;7.309115374;5.32513159;6.52;7.502899627;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;4.222090526;-4.058273518;-0.315244292;2.947496032;-0.647052458;1.088096722;1.11501688;4.729103876;3.045432327;3.128372702;7.882874187;2.117315406;-1.241538283;6.844600399;3.691990946;Primary sectors
Sectores no primarios;10.26497723;11.81420385;12.27681575;9.472938964;12.25147564;10.2907405;10.3401117;11.03154444;9.310761099;8.78764709;7.47805902;8.466578021;6.732845131;6.458919215;8.266101226;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;-0.223115726;0.244654056;1.359541617;0.321664856;0.737154175;0.414614631;;0.94894359;-0.130339819;0.675573491;0.871795683;-0.10420819;0.235571929;1.521152594;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;14.86301685;15.24095904;15.39434397;13.29775085;14.196984;12.23087992;12.8312593;12.37457973;11.27930071;8.173684428;9.850245183;7.272172524;7.65704784;5.660430917;8.784613993;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;1.520622073;0.048097743;1.224890723;0.548831022;0.326065032;0.505768838;;1.231214133;-0.034131874;-0.156895839;2.608481231;-1.026260466;0.953140305;0.627967845;;Seasonally adjusted domestic demand indicator 3/
