SECTORES ECONÓMICOS;2010;;;;;2011;;;;;;;;;; ECONOMIC SECTORS
;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Ene.-Set.;
;;;;;;;;;;;;;;;;
Agropecuario ;3.441322634;4.946452809;6.758289944;7.854083094;4.286827564;5.073320478;5.66303992;0.555226023;2.994131764;1.092354006;3.920237783;9.651790326;6.526110054;1.552485163;3.922999672;Agriculture and Livestock
  Agrícola;3.476133837;5.547189343;5.519857659;9.003014667;4.176112876;2.009846689;3.416731053;-3.614204424;2.325479421;-0.752698213;1.957355682;12.2149653;9.279213875;0.820505358;2.713754466;  Agriculture
  Pecuario;3.405846824;4.3023472;8.22452649;6.553299455;4.437536655;8.746806431;8.294074219;6.73700271;4.501741053;5.292663002;7.662908109;5.897703746;3.441686465;2.310622855;5.845386677;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-34.1874565;-15.5912893;-33.86918639;-21.48477088;-16.44431964;18.01899037;10.72436037;9.89;106.74;1.41;-14.67;76.37;84.09;32.52;27.79177839;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-1.919375084;-0.664300955;-3.567981264;1.289579297;-0.148622392;0.010585859;-3.519361347;2.429301901;-3.919327988;2.760030901;-5.570214801;-1.13764093;3.071412047;0.673250453;-0.587754166;Mining and fuel
  Minería metálica;-8.092519309;-7.024601034;-10.75622049;-4.981242178;-4.908845891;-6.142046546;-9.612504082;-1.135480375;-10.58516448;-3.014997208;-9.544498704;-4.479623467;2.156216063;-0.932417345;-4.871370443;  Metals
  Hidrocarburos;37.82610332;43.63448747;45.84460033;44.89061757;29.45930623;42.03004419;37.52117446;24.74905101;39.40662931;39.12087179;18.07618095;15.92961762;7.21301498;8.310906323;24.06963277;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;16.13312176;14.72065401;14.72503218;9.54907546;13.61666709;15.09635772;11.412;10.834;9.648;5.603;2.509;3.938471933;5.298;1.764;7.179104468;Manufacturing
  De recursos primarios;-1.626620476;8.895056119;-5.767923266;-11.77852779;-2.338641499;13.728;10.305;13.125;37.351;5.539;-3.73;11.621;21.387;11.046;12.6236946;  Based on raw materials
  No primaria;19.2259339;15.66300239;18.93247207;13.95987248;16.88936506;15.338;11.604;10.43958468;4.913;5.617;3.818;2.608;2.98;0.429;6.220875173;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;6.808437272;8.223350966;7.479457268;6.151124956;7.689145453;7.592147901;7.708707369;6.665238061;6.597089874;8.129866712;7.439394281;7.458326507;8.183464203;7.598517887;7.482693948;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;22.97307046;10.70891397;23.78232159;12.4949705;17.43063374;16.18773997;4.89009347;3.604315414;0.098957755;3.690938226;-2.796469851;-2.973885694;6.626397331;1.633572857;3.290630223;Construction
;;;;;;;;;;;;;;;;
Comercio;10.96267681;7.971081074;10.81606871;10.88569064;9.687805823;10.41179777;11.08481747;9.557922272;9.283669347;8.836796625;8.415480122;8.482310917;8.513924974;8.781089926;9.233972202;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;9.525356812;8.222797585;9.439533846;9.040501936;8.045119026;9.710845041;9.025099925;9.255087306;8.914547612;9.721238738;8.172952549;7.692641467;8.446382607;7.685587058;8.719612956;Other services 2/
;;;;;;;;;;;;;;;;
PBI;10.33788826;8.512241952;10.19206636;8.933663336;8.794749774;10.15201612;8.464374157;8.089214007;7.632175272;7.357549155;5.45053179;6.437013922;7.585658556;5.773690491;7.386179829;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-0.315244292;2.947496032;-0.647052458;1.088096722;1.11501688;4.940800051;3.238396122;3.497450065;7.960186358;2.254486468;-0.806667583;7.531305045;8.651084383;3.228245512;4.376106813;Primary sectors
Sectores no primarios;12.27681575;9.472938964;12.25147564;10.2907405;10.3401117;11.1234909;9.425968228;8.961951728;7.562863086;8.495228666;6.791903361;6.231098708;7.406086254;6.185016919;7.96491059;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;1.523058233;0.27768502;0.744176249;0.417412844;;1.004459228;-0.138346945;0.730128027;0.836418622;-0.126569095;0.267784218;0.974594681;0.39896948;0.319000142;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;15.39434397;13.29775085;14.196984;12.23087992;12.8312593;12.46317801;11.37949539;8.278671361;9.826260623;7.111519562;7.305043397;4.955982373;6.678303599;7.152835149;8.252455261;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.581747691;0.755515946;0.181647409;0.586708683;;1.169031156;-0.250279612;0.070180004;2.185586781;-1.26560295;1.245057908;0.469743579;-0.044191815;1.75288926;;Seasonally adjusted domestic demand indicator 3/
