SECTORES ECONÓMICOS;2010;;;2011;;;;;;;;;;;; ECONOMIC SECTORS
;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Ene.-Nov.;
;;;;;;;;;;;;;;;;
Agropecuario ;6.758289944;7.854083094;4.286827564;5.073320478;5.66303992;0.555226023;2.994131764;1.092354006;3.920237783;9.651790326;6.526110054;1.552485163;2.088563401;2.652158412;3.683887321;Agriculture and Livestock
  Agrícola;5.519857659;9.003014667;4.176112876;2.009846689;3.416731053;-3.614204424;2.325479421;-0.752698213;1.957355682;12.2149653;9.279213875;0.820505358;0.002176966;0.824622991;2.39628981;  Agriculture
  Pecuario;8.22452649;6.553299455;4.437536655;8.746806431;8.294074219;6.73700271;4.501741053;5.292663002;7.662908109;5.897703746;3.441686465;2.310622855;4.397153123;4.770432583;5.612185849;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-33.86918639;-21.48477088;-16.44431964;18.01840578;10.72472759;7.887871433;106.7392845;1.412057549;-14.67366025;76.3749942;84.08931268;32.52483623;32.53;1.29;25.6045453;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-3.567981264;1.289579297;-0.148622392;0.010585859;-3.519361347;2.429301901;-3.919327988;2.760030901;-5.570214801;-1.137655722;3.071412047;0.673250453;-0.70710132;-1.023076778;-0.63918607;Mining and fuel
  Minería metálica;-10.75622049;-4.981242178;-4.908845891;-6.142046546;-9.612504082;-1.135480375;-10.58516448;-3.014997208;-9.544498704;-4.479623467;2.156216063;-0.932417345;-2.171322485;-1.672665536;-4.340141457;  Metals
  Hidrocarburos;45.84460033;44.89061757;29.45930623;42.03004419;37.52117446;24.74905101;39.40662931;39.12087179;18.07618095;15.92961762;7.21301498;8.310906323;6.159783637;1.92380885;19.73764817;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;14.72503218;9.54907546;13.61666709;15.09635772;11.412;10.834;9.648;5.603;2.509;3.938471933;5.298;1.764;-0.783;-0.73465747;5.63474436;Manufacturing
  De recursos primarios;-5.767923266;-11.77852779;-2.338641499;13.635;10.204;13.035;37.258;5.465;-3.804809203;11.531;21.28;10.943;-0.612;-1.188;10.14216643;  Based on raw materials
  No primaria;18.93247207;13.95987248;16.88936506;15.318;11.582;10.42;4.894;5.598;3.799;2.589;2.961;0.411;-0.824;-0.66;4.845371731;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;7.479457268;6.151124956;7.689145453;7.592147901;7.708707369;6.665238061;6.597089874;8.129866712;7.439394281;7.458326507;8.183464203;7.598517887;7.291540954;6.891119217;7.409998471;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;23.78232159;12.4949705;17.43063374;16.18773997;4.89009347;3.604315414;0.098957755;3.690938226;-2.796469851;-2.973885694;6.626397331;1.633572857;4.4;3.23;3.393042977;Construction
;;;;;;;;;;;;;;;;
Comercio;10.81606871;10.88569064;9.687805823;10.41179777;11.08481747;9.557922272;9.283669347;8.836796625;8.415480122;8.482310917;8.513924974;8.781089926;8.6782574;7.02;8.984586604;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;9.439533846;9.040501936;8.045119026;9.710848934;9.025097212;9.273251453;8.914553148;9.721214626;8.172995297;7.692614546;8.446385639;7.78120436;6.807327237;7.338348356;8.413894731;Other services 2/
;;;;;;;;;;;;;;;;
PBI;10.19206636;8.933663336;8.794749774;10.15417457;8.466390053;8.091304951;7.634384575;7.360086401;5.454696857;6.437625215;7.587389812;5.82;5.120004805;4.9534999;6.950200855;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-0.647052458;1.088096722;1.11501688;4.924721274;3.221859632;3.428820091;7.947264596;2.24276078;-0.819307492;7.5170102;8.634853152;3.211680994;1.050948925;0.647004109;3.761902442;Primary sectors
Sectores no primarios;12.25147564;10.2907405;10.3401117;11.12904913;9.431397814;8.977484306;7.568269741;8.500945698;6.799670954;6.234514923;7.410844999;6.241486439;5.780612707;5.67770472;7.54670873;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.626218018;0.301572626;;0.998057989;-0.09000653;0.694380029;0.833246009;-0.138894559;0.222003332;0.960619175;0.422985399;0.284293069;0.120489379;0.32738983;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;14.19698088;12.23088616;12.83125838;12.46317569;11.37949891;8.278683747;9.826264289;7.111512079;7.305063879;4.955973505;6.678303724;7.197043689;4.417549508;7.168920475;7.787863218;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;-0.01772152;0.604639592;;1.128709566;-0.291399334;0.029727155;2.153506459;-1.316839525;1.201287898;0.431750131;-0.096781057;1.757936092;-1.031823795;2.481362451;;Seasonally adjusted domestic demand indicator 3/
