SECTORES ECONÓMICOS;2011;;;;;;;;;;;;;2012; ECONOMIC SECTORS
;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;
;;;;;;;;;;;;;;;
Agropecuario ;5.597696342;4.890602581;-0.613706062;3.992515254;1.295120333;3.496582994;10.1299705;7.434934515;3.385359351;4.408246839;4.144554668;-1.275959471;3.777913045;2.237103207;Agriculture and Livestock
  Agrícola;2.433630107;3.278274537;-3.669187265;2.517897178;-0.249705543;1.111180967;13.75099479;11.33355618;4.182041352;3.965092394;3.300426279;-4.176962627;2.83303905;1.007667563;  Agriculture
  Pecuario;9.391805144;6.77907413;3.916481625;7.317334093;4.811956311;8.044881323;4.826532833;3.067136786;2.560207277;4.898597898;5.143199901;2.145229685;5.192287046;3.617575802;  Livestock
;;;;;;;;;;;;;;;
Pesca;17.82539255;13.93270615;7.169020898;110.1406551;2.033838083;-17.3861166;72.80739444;92.61270445;30.18518117;35.06481822;0.31094136;74.46997655;29.70306397;-7.71;Fishing
;;;;;;;;;;;;;;;
Minería e hidrocarburos;0.04248229;-3.483604528;2.50411803;-3.881750733;2.760953422;-5.567519233;-1.134149647;3.074867534;0.68440889;-0.543853916;-1.067148065;4.192182518;-0.195345333;-2.159560471;Mining and fuel
  Minería metálica;-6.135030319;-9.600014135;-1.056207204;-10.54872249;-3.011627193;-9.543872394;-4.479358521;2.158969947;-0.920435444;-2.185908471;-1.726018932;4.426545798;-3.598691022;-0.863462594;  Metals
  Hidrocarburos;42.03004419;37.52117446;24.74905101;39.40662931;39.12087179;18.07618095;15.92961762;7.21301498;8.310906323;6.159783637;1.92380885;3.094240384;18.09840697;-8.008066877;  Fuel
;;;;;;;;;;;;;;;
Manufactura;15.1411856;11.092;10.70857071;9.942;5.64;2.605;4.128;5.41;1.821;-0.42;-0.217;3.686;5.575074727;1.697;Manufacturing
  De recursos primarios;14;8.141;12.246;39.336;5.559;-3.474;12.151;21.729;10.715;-0.082;-0.614;34.914;12.3212582;11.114;  Based on raw materials
  No primaria;15.344;11.602;10.44111571;4.918;5.657;3.879184365;2.739;3.058;0.542;-0.470039112;-0.152810144;-1.346;4.431212116;0.054026234;  Non-primary
;;;;;;;;;;;;;;;
Electricidad y agua;7.592147901;7.708707369;6.665238061;6.597089874;8.129866712;7.439394281;7.458326507;8.183464203;7.598517887;7.291540954;6.89203445;7.331841438;7.403245973;5.816507974;Electricity and water 
;;;;;;;;;;;;;;;
Construcción;16.18773997;4.89009347;3.604315414;0.098957755;3.690938226;-2.796469851;-2.973885694;6.626397331;1.633572857;4.393099418;3.186491738;3.80407437;3.4289948;4.43;Construction
;;;;;;;;;;;;;;;
Comercio;10.41179777;11.08481747;9.557922272;9.283669347;8.836796625;8.415480122;8.482310917;8.513924974;8.781089926;8.6782574;7.02166222;7.046524417;8.825867808;7.67;Commerce
;;;;;;;;;;;;;;;
Otros servicios 2/;9.741403501;8.908244063;9.263670575;8.954241041;9.722647529;8.193259949;7.715639207;8.465335765;7.6847754;6.803491108;7.37598443;7.234358303;8.293641576;5.960977829;Other services 2/
;;;;;;;;;;;;;;;
PBI;10.21266913;8.321539707;7.97859751;7.805894101;7.389587482;5.426453249;6.503739404;7.692815336;5.891536893;5.329195382;5.140817797;5.964169247;6.912333309;5.38;GDP
;;;;;;;;;;;;;;;
Sectores primarios;5.224062824;2.620470622;2.741645478;8.874598827;2.386981306;-1.059178533;7.787538592;9.250119257;3.960721426;2.250567675;1.377738354;8.102903902;4.388103095;2.117104053;Primary sectors
Sectores no primarios;11.14253902;9.370436704;8.973947242;7.580065957;8.504872411;6.8167828;6.262167319;7.430340451;6.203542417;5.828615653;5.773638995;5.625092795;7.377769142;5.955812291;Non- primary sectors
;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.940998184;-0.063954912;0.783186292;0.578576362;0.277058343;0.044554585;0.641832315;1.056103901;-0.00865355;0.082720261;0.719350333;0.740788216;;0.360980462;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;12.46120585;11.19702669;8.146258676;9.797692342;6.906311585;7.044582248;4.570201862;6.146171148;5.885175226;3.925332921;6.189364776;5.372862851;7.18635752;3.986066056;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.421575351;-0.092399178;0.345421277;0.740189555;0.231176759;0.209434787;0.265545036;0.835965135;0.591792749;0.31585104;0.713867791;0.430527462;;0.438387353;Seasonally adjusted domestic demand indicator 3/
