SECTORES ECONÓMICOS;2011;;;;;;;;;2012;;;;;; ECONOMIC SECTORS
;May.;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May;Ene.-May.;
;;;;;;;;;;;;;;;;
Agropecuario ;1.295120333;3.496582994;10.1299705;7.434934515;3.385359351;4.408246839;4.144554668;-1.275959471;3.777913045;2.51691392;3.133668722;1.61527909;1.056174859;7.746865119;3.452180033;Agriculture and Livestock
  Agrícola;-0.249705543;1.111180967;13.75099479;11.33355618;4.182041352;3.965092394;3.300426279;-4.176962627;2.83303905;1.511491726;1.729306916;-0.750237216;-1.336101975;9.674675401;2.726860569;  Agriculture
  Pecuario;4.811956311;8.044881323;4.826532833;3.067136786;2.560207277;4.898597898;5.143199901;2.145229685;5.192287046;3.646980463;4.73016114;4.869744487;6.296691928;3.481550377;4.59916317;  Livestock
;;;;;;;;;;;;;;;;
Pesca;2.033838083;-17.3861166;72.80739444;92.61270445;30.18518117;35.06481822;0.31094136;74.46997655;29.70306397;-4.62;-1.12;-15.07;-48.58224473;-7.63;-20.16214791;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;2.760953422;-5.567519233;-1.134149647;3.074867534;0.68440889;-0.543853916;-1.067148065;4.192182518;-0.195345333;-2.159148741;2.527151575;6.000169972;3.685436855;1.279462158;2.219232914;Mining and fuel
  Minería metálica;-3.011627193;-9.543872394;-4.479358521;2.158969947;-0.920435444;-2.185908471;-1.726018932;4.426545798;-3.598691022;-0.86295962;1.965779216;4.128868513;5.014656884;1.700309553;2.326859617;  Metals
  Hidrocarburos;39.12087179;18.07618095;15.92961762;7.21301498;8.310906323;6.159783637;1.92380885;3.094240384;18.09840697;-8.008066877;5.012031674;15.28604491;-1.852942985;-0.568008265;1.662036015;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;5.64;2.605;4.128;5.41;1.821;-0.42;-0.217;3.686;5.575074727;-0.955;1.728489379;-3.148;-4.251;2.686;-0.823936275;Manufacturing
  De recursos primarios;5.559;-3.474;12.151;21.729;10.715;-0.082;-0.614;34.914;12.3212582;1.291;1.035180822;-9.455;-21.628;-10.166;-8.670112917;  Based on raw materials
  No primaria;5.657;3.879184365;2.739;3.058;0.542;-0.470039112;-0.152810144;-1.346;4.431212116;-1.347;1.845;-2.038;-0.306;5.415;0.67534304;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;8.129866712;7.439394281;7.458326507;8.170630637;7.55782685;7.306970966;6.93474738;7.330687577;7.403665315;5.920294463;7.516783528;5.848548996;5.241380842;5.338131397;5.948999075;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;3.690938226;-2.796469851;-2.973885694;6.626397331;1.633572857;4.393099418;3.186491738;3.80407437;3.4289948;12.45372075;10.08105496;14.7009093;15.18007245;15.84;13.69674099;Construction
;;;;;;;;;;;;;;;;
Comercio;8.836796625;8.415480122;8.482310917;8.513924974;8.781089926;8.6782574;7.02166222;7.046524417;8.825867808;7.673801949;8.894207254;7.222718068;6.06;6.47;7.192711862;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;9.722642605;8.193259512;7.715635761;8.465877191;7.686454047;6.802858758;7.374241449;7.234402513;8.293623759;7.371454606;8.701212369;7.361127692;6.588425562;6.891220443;7.346218372;Other services 2/
;;;;;;;;;;;;;;;;
PBI;7.389585187;5.426453043;6.503737716;7.692815689;5.891536498;5.329193966;5.14081956;5.964170194;6.912333115;5.541835068;7.005993997;5.55031009;4.37;6.47;5.769912335;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;2.386981306;-1.059178533;7.787538592;9.250119257;3.960721426;2.250567675;1.377738354;8.102903902;4.388103095;0.469881678;2.457965827;0.579035343;-4.299874748;2.616586364;0.245882001;Primary sectors
Sectores no primarios;8.504869604;6.81678255;6.262165314;7.430340863;6.203541958;5.828614007;5.773641055;5.625093892;7.377768912;6.436896724;7.791109847;6.441127501;6.224077699;7.280644906;6.82654419;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.128465311;0.024596281;0.613532462;1.037935973;-0.036730571;0.04156007;0.69170512;0.704667532;;0.392594798;0.435412176;0.405461743;-0.021662039;1.339261161;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;6.908330353;7.045543945;4.577221302;6.156341373;5.894267087;3.942739552;6.178109404;5.365248162;7.189043766;3.852157159;6.256596283;6.739397342;5.603983943;10.20669134;6.610706122;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.23136552;0.203149943;0.24397892;0.816957018;0.569908541;0.303089528;0.74891687;0.331666537;;0.291769922;0.596333851;0.90462044;0.664155109;1.338461473;;Seasonally adjusted domestic demand indicator 3/
