SECTORES ECONÓMICOS;2011;;;;;;;;2012;;;;;;; ECONOMIC SECTORS
;Jun.;Jul.;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Ene.-Jun.;
;;;;;;;;;;;;;;;;
Agropecuario ;3.496582994;10.1299705;7.434934515;3.385359351;4.408246839;4.144554668;-1.275959471;3.777913045;2.73;2.93;1.88;0.58;8.8;8.095171336;4.477691407;Agriculture and Livestock
  Agrícola;3.949145537;13.75099479;11.33355618;4.182041352;3.965092394;3.300426279;-4.176962627;3.150640019;1.511491726;1.729306916;-0.750237216;-1.336101975;9.674675401;10.48744471;4.423735718;  Agriculture
  Pecuario;8.317197695;4.826532833;3.067136786;2.560207277;4.898597898;5.143199901;2.145229685;5.215054058;3.646980463;4.73016114;4.869744487;6.296691928;3.481550377;3.669616119;4.643859241;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-17.3861166;72.80739444;92.61270445;30.18518117;35.06481822;0.31094136;74.46997655;29.70306397;-15.086;-9.686;-5.09;-45.226;0.026;17.909;-12.04719436;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-5.567519233;-1.134149647;3.074867534;0.68440889;-0.543853916;-1.067148065;4.192182518;-0.195345333;-0.351752056;3.653073577;7.23367117;6.682671723;1.173989039;4.762966618;3.798979292;Mining and fuel
  Minería metálica;-9.543872394;-4.479358521;2.158969947;-0.920435444;-2.185908471;-1.726018932;4.426545798;-3.598691022;1.34497745;3.346064192;5.610946457;8.720913954;1.552481967;4.475402484;4.091780754;  Metals
  Hidrocarburos;18.07618095;15.92961762;7.21301498;8.310906323;6.159783637;1.92380885;3.094240384;18.09840697;-8.008066877;5.012031674;15.28604491;-1.852942985;-0.568008265;6.081188775;2.410116882;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;2.605;4.128;5.41;1.821;-0.42;-0.217;3.686;5.575074727;-0.994;1.724;-2.806;-4.15;2.945651107;1.306;-0.354727787;Manufacturing
  De recursos primarios;-3.474;12.151;21.729;10.715;-0.082;-0.614;34.914;12.3212582;1.102;-0.989;-9.266;-21.537;-9.135;-2.643;-7.739372014;  Based on raw materials
  No primaria;3.879184365;2.739;3.058;0.542;-0.470039112;-0.152810144;-1.346;4.431212116;-1.363;2.188714884;-1.664;-0.180045575;5.519832858;2.078;1.069155284;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;7.439394281;7.458326507;8.170630637;7.55782685;7.306970966;6.93474738;7.330687577;7.403665315;5.737477625;7.391475504;5.760948362;5.046484637;5.334658902;4.703173635;5.644284246;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;-2.796469851;-2.973885694;6.626397331;1.633572857;4.393099418;3.186491738;3.80407437;3.4289948;12.45372075;10.08122608;14.7009093;14.55;15.84;20.56;14.67699321;Construction
;;;;;;;;;;;;;;;;
Comercio;8.415480122;8.482310917;8.513924974;8.781089926;8.6782574;7.02166222;7.046524417;8.825867808;7.673801949;8.894207254;7.222718068;6.055244246;6.465597546;6.688284273;7.105771709;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;8.193259512;7.715635761;8.465877191;7.686454047;6.802858758;7.374241449;7.234402513;8.293623759;7.29899715;8.679791911;7.268576077;6.658578638;7.34799395;7.40826679;7.426665458;Other services 2/
;;;;;;;;;;;;;;;;
PBI;5.426453043;6.503737716;7.692815689;5.891536498;5.329193966;5.14081956;5.964170194;6.912333115;5.572265203;7.00234448;5.680451639;4.487108276;6.856573747;7.067955666;6.111735602;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;-1.059178533;7.787538592;9.250119257;3.960721426;2.250567675;1.377738354;8.102903902;4.388103095;0.932785133;2.176447105;1.418282824;-3.658826552;3.553445969;5.635935853;1.659904267;Primary sectors
Sectores no primarios;6.81678255;6.262165314;7.430340863;6.203541958;5.828614007;5.773641055;5.625093892;7.377768912;6.391007095;7.835428265;6.444202262;6.229139914;7.551454692;7.352303884;6.968829189;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.190162337;0.630233584;1.068363441;-0.008814766;0.065002588;0.732056689;0.744873828;;0.462510135;0.450207463;0.572339019;0.001790428;1.590221401;0.570204217;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;7.045543945;4.577221302;6.156341373;5.894267087;3.942739552;6.178109404;5.365248162;7.189043766;3.457781475;6.12675205;6.108465794;5.211593549;9.511325377;7.662362003;6.411747929;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.37015757;0.279308257;0.864045672;0.617995199;0.350525878;0.803472908;0.408260216;;8.46E-05;0.875536327;0.585694744;1.239942412;1.071820724;1.048613261;;Seasonally adjusted domestic demand indicator 3/
