SECTORES ECONÓMICOS;2011;;;;;;2012;;;;;;;;; ECONOMIC SECTORS
;Ago.;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Ene.-Ago.;
;;;;;;;;;;;;;;;;
Agropecuario ;7.434934515;3.385359351;4.408246839;4.144554668;-1.275959471;3.777913045;2.73;2.93;1.88;0.58;8.8;8.095171336;0.192260339;4.04203687;3.885004086;Agriculture and Livestock
  Agrícola;11.33355618;4.182041352;3.965092394;3.300426279;-4.176962627;3.091429037;1.511491726;1.729306916;-0.750237216;-1.336101975;9.674675401;10.48744471;-3.774817709;1.466377779;2.946013214;  Agriculture
  Pecuario;3.067136786;2.560207277;4.898597898;5.143199901;2.145229685;5.24883274;3.646980463;4.73016114;4.869744487;6.296691928;3.481550377;3.669616119;6.479758338;7.100032035;5.024149537;  Livestock
;;;;;;;;;;;;;;;;
Pesca;92.61270445;30.18518117;35.06481822;0.31094136;74.46997655;29.58614593;-14.78987317;-9.395803754;-4.841665129;-45.16851936;0.111445319;17.909;-3.09;-13.67;-11.31847996;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;3.074867534;0.68440889;-0.543853916;-1.067148065;4.192182518;-0.195345333;-0.351752056;3.653073577;7.23367117;6.682671723;1.173989039;4.762966618;4.211321467;0.565158832;3.427363;Mining and fuel
  Minería metálica;2.158969947;-0.920435444;-2.185908471;-1.726018932;4.426545798;-3.598691022;1.34497745;3.346064192;5.610946457;8.720913954;1.552481967;4.475402484;4.342086676;0.077215683;3.600706834;  Metals
  Hidrocarburos;7.21301498;8.310906323;6.159783637;1.92380885;3.094240384;18.09840697;-8.008066877;5.012031674;15.28604491;-1.852942985;-0.568008265;6.081188775;3.643261082;2.650789169;2.606165979;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;5.41;1.821;-0.42;-0.217;3.686;5.575074727;-0.994;1.724;-2.806;-4.150723936;2.945651107;1.306;4.782;4.115;0.826156643;Manufacturing
  De recursos primarios;21.729;10.715;-0.082;-0.614;34.914;12.3212582;1.143;-0.989;-9.266;-21.503;-9.1;-2.604;-0.781;-5.613;-6.633274785;  Based on raw materials
  No primaria;3.058;0.542;-0.470039112;-0.152810144;-1.346;4.431212116;-1.354;2.198526493;-1.655;-0.172;5.528325216;2.087;5.847;5.776;2.252689888;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;8.170630637;7.55782685;7.306970966;6.93474738;7.330687577;7.403665315;5.737477625;7.391475504;5.760948362;5.046484677;5.307099647;4.699749258;5.731262743;5.573286551;5.642203288;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;6.626397331;1.633572857;4.393099418;3.186491738;3.80407437;3.4289948;12.64824343;10.14137887;14.73503457;14.64478341;15.84204874;20.56434055;21.474;17.57038587;15.9459674;Construction
;;;;;;;;;;;;;;;;
Comercio;8.513924974;8.781089926;8.6782574;7.02166222;7.046524417;8.825867808;7.673801949;8.894207254;7.222718068;6.055244246;6.465597546;6.688284273;6.882559113;6.48;7.006354723;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;8.465877191;7.686454047;6.802858758;7.374241449;7.234402513;8.294452528;7.296331072;8.669281651;7.266438136;6.645619535;7.347840889;7.40790415;7.879777631;6.503965682;7.364396398;Other services 2/
;;;;;;;;;;;;;;;;
PBI;7.692815689;5.891536498;5.329193966;5.14081956;5.964170194;6.912333115;5.585467509;7.00234448;5.682796383;4.487108276;6.856573747;7.067955666;7.205230057;6.331877201;6.278270966;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;9.250119257;3.960721426;2.250567675;1.377738354;8.102903902;4.385533185;0.948342287;2.184785733;1.425694746;-3.648757246;3.561833265;5.642306554;1.17206608;0.719340247;1.498125503;Primary sectors
Sectores no primarios;7.430340863;6.203541958;5.828614007;5.773641055;5.625093892;7.378242771;6.403718663;7.833909207;6.445573269;6.226898221;7.54966887;7.351038889;8.356785023;7.293862769;7.184805875;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;1.125884101;0.012525092;0.083509143;0.760777427;0.773132814;;0.48696966;0.49328652;0.527880025;0.034710081;1.488491925;0.448606238;0.653504564;0.224273574;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;6.156341373;5.894267087;3.942739552;6.178109404;5.365248162;7.189043766;3.470205801;6.12675205;6.110723415;5.211593549;9.511325377;7.662362003;13.04765189;9.607505736;7.629586963;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;1.099943586;0.651025274;0.366398238;0.838932947;0.410211347;;0.297255349;0.631358288;1.023029307;0.994730042;1.528588487;1.01811965;1.492703092;0.582740246;;Seasonally adjusted domestic demand indicator 3/
