SECTORES ECONÓMICOS;2011;;;;;2012;;;;;;;;;; ECONOMIC SECTORS
;Set.;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Ene.-Set.;
;;;;;;;;;;;;;;;;
Agropecuario ;3.385359351;4.408246839;4.144554668;-1.275959471;3.777913045;2.876199656;2.873496101;2.177890934;0.889207199;10.09547889;10.08080074;1.969714208;3.571773091;4.05957452;4.594203151;Agriculture and Livestock
  Agrícola;4.182041352;3.965092394;3.300426279;-4.176962627;3.091429037;2.220158634;1.23056861;-0.016058174;-1.978999442;13.15988204;13.69525562;-0.948468016;0.799666509;2.244403536;4.186499091;  Agriculture
  Pecuario;2.560207277;4.898597898;5.143199901;2.145229685;5.24883274;3.61435367;4.741497909;5.197240134;7.1734417;3.315064868;3.394286647;6.594797122;6.860979509;5.947842895;5.191433093;  Livestock
;;;;;;;;;;;;;;;;
Pesca;30.14294763;35.06481822;0.31094136;74.46997655;29.70090031;-15.49;-10.86;-4.47;-44.69;5.38;20.59;0.77;-11.88;19.11864343;-7.5;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;0.68440889;-0.543853916;-1.067148065;4.192182518;-0.195345333;-0.340915542;3.676817787;7.23367117;6.689818092;1.19527697;4.762966618;4.331446113;0.617937612;4.992514317;3.629657292;Mining and fuel
  Minería metálica;-0.920435444;-2.185908471;-1.726018932;4.426545798;-3.598691022;1.359163115;3.377433347;5.610946457;8.730549385;1.580910221;4.475402484;4.500310259;0.147542086;4.496997128;3.73622317;  Metals
  Hidrocarburos;8.310906323;6.159783637;1.92380885;3.094240384;18.09840697;-8.008066877;5.012031674;15.28604491;-1.852942985;-0.568008265;6.081188775;3.643261082;2.650789169;7.110659987;3.119353197;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;1.821;-0.42;-0.217;3.686;5.575074727;-0.974731768;1.768341905;-2.698;-4.132;2.877858933;1.636;5.041;4.278;1.308;0.975987258;Manufacturing
  De recursos primarios;10.715;-0.082;-0.614;34.914;12.3212582;1.077;-1.373;-8.937;-21.129;-9.131;-2.079;-0.361;-5.127;-4.525;-6.236622577;  Based on raw materials
  No primaria;0.542;-0.470039112;-0.152810144;-1.346;4.431212116;-1.336;2.308821022;-1.593221504;-0.252;5.436;2.362;6.066661985;5.884;2.237;2.319930875;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;7.55782685;7.306970966;6.93474738;7.330687577;7.403665315;5.735626491;7.389674006;5.757625229;5.054185926;5.333884436;4.725584241;5.700978636;5.287913154;4.19082216;5.452123142;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;1.633572857;4.393099418;3.186491738;3.80407437;3.4289948;12.45372075;10.08105496;14.7009093;14.55383267;15.84204874;19.7;21.38;17.39824018;19.21964459;16.20457217;Construction
;;;;;;;;;;;;;;;;
Comercio;8.781089926;8.6782574;7.02166222;7.046524417;8.825867808;7.673801949;8.894207254;7.222718068;6.055244246;6.465597546;6.688284273;6.882559113;6.48;5.28;6.819297241;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;7.686454047;6.802858758;7.374241449;7.234402513;8.293623759;7.099431392;8.572664677;7.119911558;6.609253838;7.395853856;7.508059864;7.816309894;6.469064802;5.909562205;7.157266772;Other services 2/
;;;;;;;;;;;;;;;;
PBI;5.891446606;5.329193966;5.14081956;5.964170194;6.912325712;5.49;6.95;5.65;4.5;7.02;7.3;7.37;6.3;5.940089933;6.285011322;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;3.960075246;2.250567675;1.377738354;8.102903902;4.388055537;0.986603012;2.062062585;1.633598311;-3.398121265;4.417308356;6.835040212;2.273764424;0.654440198;3.211942438;2.087947335;Primary sectors
Sectores no primarios;6.203541958;5.828614007;5.773641055;5.625093892;7.377768912;6.284726934;7.793793617;6.369710886;6.189035993;7.56752978;7.392324482;8.342722671;7.267645666;6.371625846;7.06609972;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.2420219;0.025581963;0.572454226;0.75628909;;0.452978339;0.390605758;0.563553039;0.11127378;1.423495091;0.501911876;0.611946251;0.284853215;0.259728721;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;5.894181365;3.942739552;6.178109404;5.365248162;7.189036641;3.192331444;5.915239983;5.784520039;5.017844667;9.564274382;7.5086758;12.63454381;10.00676563;7.018509421;7.439777897;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.958659161;0.220032309;0.793194216;0.34177401;;0.191015245;0.550454651;0.971032875;0.997308005;1.512797843;1.014767682;1.31792;0.360253712;0.257241913;;Seasonally adjusted domestic demand indicator 3/
