SECTORES ECONÓMICOS;2011;;;;2012;;;;;;;;;;; ECONOMIC SECTORS
;Oct.;Nov.;Dic.;Año;Ene.;Feb.;Mar.;Abr.;May.;Jun.;Jul.;Ago.;Set.;Oct.;Ene.-Oct.;
;;;;;;;;;;;;;;;;
Agropecuario ;4.466543487;4.144554668;-1.275959471;3.781931648;2.876199656;2.873496101;2.177890934;0.889207199;10.09547889;10.08080074;1.969714208;3.571773091;4.05957452;2.355281542;4.411845048;Agriculture and Livestock
  Agrícola;4.071372818;3.300426279;-4.176962627;3.098006569;2.220158634;1.23056861;-0.016058174;-1.978999442;13.15988204;13.69525562;-0.948468016;0.799666509;2.244403536;2.131603781;4.038599711;  Agriculture
  Pecuario;4.898597898;5.143199901;2.145229685;5.24883274;3.61435367;4.741497909;5.197240134;7.1734417;3.315064868;3.394286647;6.594797122;6.860979509;5.947842895;2.617287491;4.935984442;  Livestock
;;;;;;;;;;;;;;;;
Pesca;35.06481822;0.31094136;74.46997655;29.70090031;-15.49;-10.86;-4.47;-44.69;5.38;20.59;0.77;-11.88;19.11864343;20.19;-5.7;Fishing
;;;;;;;;;;;;;;;;
Minería e hidrocarburos;-0.543853916;-1.067148065;4.192182518;-0.195345333;-0.340915542;3.676817787;7.23367117;6.689818092;1.19527697;4.762966618;4.331446113;0.617937612;4.992514317;-3.333642923;2.903492675;Mining and fuel
  Minería metálica;-2.185908471;-1.726018932;4.426545798;-3.598691022;1.359163115;3.377433347;5.610946457;8.730549385;1.580910221;4.475402484;4.500310259;0.147542086;4.496997128;-5.237036878;2.815487226;  Metals
  Hidrocarburos;6.159783637;1.92380885;3.094240384;18.09840697;-8.008066877;5.012031674;15.28604491;-1.852942985;-0.568008265;6.081188775;3.643261082;2.650789169;7.110659987;5.288497157;3.349242421;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-0.42;-0.217;3.686;5.575074727;-0.974731768;1.768341905;-2.698;-4.132;2.877858933;1.636;5.041;4.278;1.308;4.541;1.331613414;Manufacturing
  De recursos primarios;-0.082;-0.614;34.914;12.3212582;1.077;-1.373;-8.937;-21.129;-9.131;-2.079;-0.361;-5.127;-4.525;6.915270013;-5.117931319;  Based on raw materials
  No primaria;-0.470039112;-0.152810144;-1.346;4.431212116;-1.336;2.308821022;-1.593221504;-0.252;5.436;2.362;6.066661985;5.884;2.237;4.173;2.508097949;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;7.306970966;6.93474738;7.330687577;7.403665315;5.735626491;7.389674006;5.757625229;5.054185926;5.333884436;4.725584241;5.700978636;5.287913154;4.19082216;4.040569811;5.306751244;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;4.393099418;3.186491738;3.80407437;3.4289948;12.54903003;10.1372506;14.7450368;14.64268453;15.84204874;19.7;21.38;17.39824018;19.21964459;16.33;16.24583064;Construction
;;;;;;;;;;;;;;;;
Comercio;8.6782574;7.02166222;7.046524417;8.825867808;7.673801949;8.894207254;7.222718068;6.055244246;6.465597546;6.688284273;6.882559113;6.48;5.28;5.92;6.730716343;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;6.802858758;7.374241449;7.234402513;8.293623759;7.085708313;8.565359215;7.114027686;6.59846217;7.395853856;7.508059864;7.816309894;6.469064802;5.909562205;7.804724075;7.221634378;Other services 2/
;;;;;;;;;;;;;;;;
PBI;5.332725216;5.14081956;5.964170194;6.912625848;5.49;6.95;5.65;4.5;7.02;7.3;7.37;6.3;5.940089933;6.706422577;6.32781725;GDP
;;;;;;;;;;;;;;;;
Sectores primarios;2.275866975;1.377738354;8.102903902;4.389983423;0.986603012;2.062062585;1.633598311;-3.398121265;4.417308356;6.835040212;2.273764424;0.654440198;3.211942438;1.363126259;2.023459444;Primary sectors
Sectores no primarios;5.828614007;5.773641055;5.625093892;7.377768912;6.284726934;7.793793617;6.369710886;6.189035993;7.56752978;7.392324482;8.342722671;7.267645666;6.371625846;7.544122185;7.115759237;Non- primary sectors
;;;;;;;;;;;;;;;;
PBI desestacionalizado 3/;0.068081281;0.537165568;0.799161558;;0.409187542;0.389173695;0.562083859;0.110301665;1.421286523;0.501307637;0.611596149;0.284965944;0.261111526;0.722212114;;Seasonally adjusted GDP 3/
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INDICADOR DE DEMANDA INTERNA;3.948077108;6.175199084;5.408287683;7.193358582;3.193850894;5.907318863;5.77988702;4.989619148;9.551005226;7.398067289;12.60469089;9.6;6.4;9.762167449;7.554313487;DOMESTIC DEMAND INDICATOR
;;;;;;;;;;;;;;;;
Indicador de demanda interna desestacionalizada 3/;0.229673528;0.785256079;0.385513092;;0.15106031;0.552203135;0.953398323;0.995982812;1.519934595;0.906124629;1.400023761;-0.01566954;0.133888248;-0.081597119;;Seasonally adjusted domestic demand indicator 3/
