sectores_económicos;economic_sectors;1995_1;1995_2;1995_3;1995_4;1995_year;1996_1;1996_2;1996_3;1996_4;1996_year;1997_1;1997_2;1997_3
agropecuario;agriculture and livestock;10.7;7.8;8.8;2.8;7.6;1.4;8.1;4;8.3;5.8;15.9;3.2;-3.9
agrícola;agriculture;13.2;7;5.5;-1.5;6.2;1.8;9.4;6.1;16.9;8.3;23.7;3.1;-8.6
pecuario;livestock;7.6;10.4;16.7;8.4;10.7;0.7;4;-0.5;-1.7;0.6;5;3.4;7.2
pesca;fishing;-5.4;-20.4;-30.4;-23.4;-19.1;-18.9;1.4;-13.2;23.8;-0.5;-10.7;23.3;16.3
minería;mining and fuel;4.3;0.5;3.2;2.7;2.6;1.3;2.5;3.9;3.6;2.8;4.7;7.1;5.5
minería metálica;metals;11.1;3;9.2;7.1;7.6;4.8;7.3;6;3.3;5.3;6.6;10;11.5
petróleo crudo;fuel;-4.6;-3.1;-5.6;-4.2;-4.4;-4.2;-4.7;0.4;4;-1.2;1.6;2.3;-4.9
manufactura;manufacturing;10.3;5;4;-1.5;4.2;1.2;2.3;2.3;5;2.7;3;12.4;8.1
procesadores recursos primarios;based on raw materials;-3.4;-6.8;-7.2;-9;-6.7;-5.5;6.5;7.6;13.3;5.5;-1.8;13.9;9
resto industria;non primary;17.1;11.3;8.3;2;9.4;3.9;0.4;0.5;1.5;1.6;4.7;11.7;7.8
construcción;construction;32;31.6;12.4;1.5;17.5;-4.2;-10.4;-4.3;0.2;-4.6;9.7;24.1;29.3
comercio;commerce;20.8;15;11.8;2.7;12.4;-0.3;4.4;2.5;5.4;3;4.8;9.5;8.5
otros servicios;other services;10.9;8.1;6.9;2.8;7;1.4;3.8;3.4;4;3.2;3.5;7.3;7
pbi;gdp;12.8;8.6;6.9;1.2;7.2;0.3;2.9;2.3;4.6;2.6;5.4;9.4;7.8
pbi desestacionalizado;seasonally adjusted gdp;2.3;0.9;-0.8;-1.1;;1.4;3.5;-1.4;1.1;;2.1;7.5;-2.8
