sectores_económicos;economic_sectors;1997_1;1997_2;1997_3;1997_4;1997_year;1998_1;1998_2;1998_3;1998_4;1998_year;1999_1;1999_2;1999_3;1999_4;1999_year
agropecuario;agriculture and livestock;17.0;4.3;-4.8;6.4;4.9;4.3;-1.9;2.1;15.5;3.6;11.3;15.7;17.8;0.6;12.1
agrícola;agriculture;24.4;4.3;-11.1;1.7;3.5;3.3;-4.0;-1.7;22.9;2.0;10.0;16.8;26.7;-1.7;14.0
pecuario;livestock;5.5;4.3;9.0;13.0;8.0;6.2;6.7;9.0;6.1;7.0;13.5;11.6;3.3;4.0;7.9
pesca;fishing;-11.7;25.0;7.8;-55.9;-12.1;-61.9;-66.8;3.7;55.6;-35.6;114.2;129.8;-25.8;64.2;66.3
minería e hidrocarburos;mining and fuel;4.7;7.3;6.3;4.9;5.8;3.5;-1.4;7.1;10.1;4.8;14.0;15.1;6.0;5.8;10.0
minería;metals;6.8;10.5;12.3;10.2;10.0;7.8;0.8;7.3;12.4;7.1;21.1;25.0;14.6;13.5;18.3
petroleo y gas;fuel;0.9;1.6;-4.4;-4.8;-1.7;-4.7;-5.7;6.7;5.1;0.3;-1.3;-5.5;-12.0;-11.6;-7.8
manufactura;manufacturing;2.9;12.3;7.6;3.7;6.6;1.7;-9.1;2.3;-5.4;-2.8;2.0;8.0;-0.2;20.7;7.6
procesadores recursos primarios;based on raw materials;0.8;17.0;9.2;-13.4;3.0;-19.0;-32.6;4.1;11.7;-10.6;32.8;38.2;-5.7;27.5;22.2
resto industria;non primary;3.7;10.0;7.0;11.7;8.1;9.8;2.9;1.6;-11.7;0.4;-6.8;-2.1;1.9;17.6;2.3
construcción;construction;13.2;20.8;22.9;23.7;20.4;9.2;2.5;7.0;-11.1;1.3;-14.1;-18.5;-17.3;0.8;-12.3
comercio;commerce;4.8;8.8;7.5;7.4;7.2;2.2;-1.0;-2.8;-7.3;-2.2;-7.3;-1.1;-1.9;9.1;-0.5
otros servicios;other services;4.0;6.1;5.9;5.0;5.3;3.2;1.3;1.8;0.1;1.5;-0.2;2.2;-0.2;4.0;1.5
pbi;gdp;5.9;8.8;6.7;6.0;6.9;2.8;-2.9;2.4;-0.6;0.3;1.2;5.2;0.4;8.4;3.8
pbi primario;primary gdp;6.8;7.7;2.5;-3.3;3.7;-3.9;-9.8;3.4;12.7;-0.6;16.5;19.7;7.4;10.2;13.7
pbi no primario;non-primary gdp;5.3;9.9;9.7;12.2;9.3;7.5;3.6;1.8;-8.2;0.9;-8.3;-6.5;-4.2;7.0;-3.1
pbi desestacionalizado;seasonally adjusted gdp;1.7;5.3;-1.9;0.9;;-1.3;-0.5;3.4;-2.0;;0.5;3.5;-1.5;5.7;
