sectores_económicos;economic_sectors;1999_1;1999_2;1999_3;1999_4;1999_year;2000_1;2000_2;2000_3;2000_4;2000_year;2001_1
agropecuario;agriculture and livestock;12.0;16.3;15.7;1.9;12.0;4.5;7.3;7.5;5.9;6.4;-1.0
agrícola;agriculture;10.6;17.5;25.5;0.6;14.2;4.8;8.4;6.0;5.2;6.5;-4.0
pecuario;livestock;15.4;14.5;3.9;4.5;9.3;4.1;4.9;9.4;6.6;6.2;2.7
pesca;fishing;35.3;48.4;-14.0;41.8;28.9;36.9;12.0;13.2;-12.5;8.1;-12.6
minería e hidrocarburos;mining and fuel;14.6;15.9;8.7;8.7;11.8;4.0;1.8;2.0;1.8;2.4;-3.5
minería metálica;metals;16.6;18.7;11.4;11.1;14.3;6.3;3.2;3.1;2.7;3.8;-3.4
hidrocarburos;fuels;-0.4;-4.2;-10.2;-10.1;-6.4;-10.1;-6.3;-4.6;-5.1;-6.5;-4.8
manufactura;manufacturing;-4.6;-1.1;-3.8;10.8;0.3;12.9;9.1;6.4;-1.2;6.5;-3.4
procesadores de recursos primarios;based on raw materials;25.4;25.7;-6.6;20.4;15.6;17.0;12.7;15.9;-5.6;8.9;-5.6
industria no primaria;non primary industries;-10.6;-7.2;-3.0;8.0;-3.4;11.8;7.9;4.1;0.3;5.8;-2.8
construcción;construction;-13.1;-12.0;-16.7;-1.0;-10.8;5.2;-2.4;-3.3;-15.8;-4.5;-16.4
comercio;commerce;-5.1;-2.8;-0.9;2.7;-1.6;8.4;6.5;4.4;1.7;5.3;-1.7
otros servicios;other services;-0.3;1.7;0.4;2.8;1.2;4.3;4.1;2.7;0.2;2.8;-1.2
pbi;gdp;-0.7;2.1;-0.1;4.2;1.4;6.3;5.1;3.5;-0.4;3.6;-2.6
sectores primarios;primary sectors;15.6;18.4;8.3;9.2;13.0;7.5;6.9;7.2;1.2;5.7;-3.1
sectores no primarios;non-primary sectors;-3.6;-1.4;-1.7;3.2;-0.9;6.1;4.7;2.7;-0.7;3.1;-2.5
desestacionalizado;seasonally adjusted;1.1;0.4;0.2;2.4;;2.7;0.4;-1.9;-1.5;;0.4
