sectores_económicos;economic_sectors;1999_1;1999_2;1999_3;1999_4;1999_year;2000_1;2000_2;2000_3;2000_4;2000_year;2001_1;2001_2
agropecuario;agriculture and livestock;9.9;16.2;15.8;3.1;11.7;4.6;7.4;6.8;5.5;6.2;-1.2;-2.7
agrícola;agriculture;11;16.6;24;1.9;13.9;5.3;8.7;5.8;5.2;6.7;-4.4;-5
pecuario;livestock;15;14.4;3.9;4.5;9.2;3.9;4.6;9.1;6.4;6;2.7;2.3
pesca;fishing;36.4;48.8;-13.6;41.4;29.2;27.5;16.1;21.9;-13.9;9.1;-6.6;2.3
minería e hidrocarburos;mining and fuel;15.3;17.4;10;9.5;12.9;4.1;1.8;2;1.7;2.4;-3.6;3.4
minería metálica;metals;19.2;21.5;13.9;13.9;17;5.9;2.8;2.7;2.4;3.4;-3.4;4.2
hidrocarburos;fuels;-1;-4.7;-10.7;-10.6;-6.9;-10.1;-6.3;-4.6;-5.1;-6.5;-4.8;-3
manufactura;manufacturing;-5.6;-1.6;-4.7;9.9;-0.5;13.1;9.5;7.1;-1.6;6.7;-3.6;-0.1
procesadores de recursos primarios;based on raw materials;32.6;31.5;-1.9;25.1;21.1;15.2;12.6;17.2;-6.3;8.6;-5;3.1
industria no primaria;non primary industries;-13.2;-9;-5.5;5.5;-5.8;12.4;8.5;4.4;-0.1;6.1;-3.1;-1.2
construcción;construction;-13;-12.5;-16.6;0.5;-10.5;5.6;-2.1;-2.9;-15.8;-4.3;-15.7;-6
comercio;commerce;-6;-2.6;-1.8;3.1;-1.9;7.7;7.3;4.6;0.7;5.1;0.2;-2.3
otros servicios;other services;0.9;-0.1;-1.9;3.2;0.5;2.8;4.6;2;-1.9;1.8;-1.3;-0.5
pbi;gdp;-0.4;1.2;-1.5;4.6;0.9;5.4;5.6;3.3;-1.7;3.1;-2.4;-1
sectores primarios;primary sectors;16;19.6;9.7;10.9;14.2;7.1;7.1;7.4;0.8;5.6;-3;-0.1
sectores no primarios;non-primary sectors;-3.3;-2.7;-3.6;3.3;-1.6;5;5.2;2.5;-2.2;2.6;-2.3;-1.2
desestacionalizado;seasonally adjusted;1.8;-1.1;0.8;3.2;;1.6;0.7;-2;-1.9;;1.1;1
