sectores_economicos;economic_sectors;2002_1;2002_2;2002_3;2002_4;2002_year;2003_1;2003_2;2003_3;2003_4;2003_year;2004_1;2004_2;2004_3;2004_4;2004_year
agropecuario;agriculture and livestock;6.4;7.2;3.8;6.3;6;2.2;4;2.5;-0.4;2.3;1.8;-5.2;-0.8;2.6;-1.1
agrícola;agriculture;8.6;6.8;1.8;6.9;6.1;0.6;3.8;1.7;-2;1.6;1.2;-8.1;-3.2;2.3;-3.2
pecuario;livestock;2.5;7.2;6.4;5.2;5.3;4;3.8;3.1;1.3;3;2.5;1;2;2.7;2
pesca;fishing;-18.4;9.1;8.4;29.5;5.7;-12.8;-13.8;-17.3;-7.5;-12.6;18.3;30;43;24.4;28.3
minería e hidrocarburos;mining and fuel;27.1;20.5;5;2.7;12.5;4.5;10.3;7.9;4.9;6.9;12.6;2.7;1.6;5.3;5.4
minería metálica;metals;28.3;20.8;4.3;1.8;12.3;5;11.1;9.2;5.6;7.7;14.2;3.2;0.6;3.6;5.2
hidrocarburos;fuels;5.2;0.5;-0.8;-2.2;0.6;-6.2;-1.2;-7.3;-3.1;-4.5;-5.4;-4.3;12.7;25.5;7.1
manufactura;manufacturing;0.5;4.7;4.8;5.9;4;5.6;0.8;1.8;0.6;2.1;4.7;6.2;6.6;9.3;6.7
procesadores de recursos primarios;based on raw materials;-6.2;-0.5;-2.6;9;0;-0.7;-2.3;0.8;-4.4;-1.8;1.8;7.8;2.7;5.5;4.6
industria no primaria;non primary industries;2.4;6.4;6.9;5.1;5.2;7.2;1.7;2.1;2.1;3.2;5.4;5.8;7.4;10.3;7.2
electricidad y agua;electricity and water;5.1;5.8;3.9;5;5;4.6;4;4.5;3.7;4.2;4.6;4.2;4.1;4.9;4.5
construcción;construction;10.1;7.1;10.4;4.4;7.9;4;6;3.2;3.9;4.2;7.2;4;3.4;4.3;4.7
comercio;commerce;1.2;6.8;3.9;4.8;4.3;8;3.6;2.6;1.2;3.8;3.4;1.8;5.1;9;4.7
otros servicios;other services;1.7;5.4;5.1;2.9;3.8;5.4;3.5;2.7;4.3;4;5.5;4;6.6;7.9;6
vab;gross aggregated value;3.8;6.7;5;4.2;5;5.3;3.6;2.9;2.8;3.6;5.3;2.9;5.2;7.5;5.2
impuestos a los productos y derechos de importación;taxes on products and import duties;-4;2.6;8.3;7.6;3.7;9.6;3.2;4.5;4.2;5.3;2.6;10;3;1.1;4
pbi;gdp;3;6.3;5.3;4.5;4.9;5.7;3.6;3;2.9;3.8;5.1;3.5;5;6.8;5.1
sectores primarios;primary sectors;9.5;9.2;3.2;6;7;2.2;4.1;3.7;0.6;2.8;6;-0.1;1.4;4.7;2.8
sectores no primarios;non-primary sectors;2.4;6;5.5;3.8;4.4;6.1;3.4;2.7;3.3;3.8;5.2;3.8;6.2;8.1;5.8
