sectores_economicos;economic_sectors;2003_1;2003_2;2003_3;2003_4;2003_year;2004_1;2004_2;2004_3;2004_4;2004_year;2005_1;2005_2;2005_3
agropecuario;agriculture and livestock;1.8;3.7;2.2;-0.5;2.1;2;-5.4;-0.8;2.8;-1.1;2.9;6.4;5.1
agrícola;agriculture;0.6;3.8;1.7;-2;1.6;1.2;-8.1;-3.2;2.3;-3.2;1.6;7.3;3.9
pecuario;livestock;4;3.8;3.1;1.3;3;2.5;1;2;2.7;2;4.5;4.7;6.5
pesca;fishing;-13;-14;-17.2;-6.6;-12.5;18.9;32.4;46.2;27;30.5;12.3;-1.2;-11.9
minería e hidrocarburos;mining and fuel;3.7;10.1;8.2;5.2;6.8;12.9;2.8;1.4;5;5.4;0.8;5.4;11.8
minería metálica;metals;5;11.1;9.2;5.5;7.7;14.3;3.3;0.7;3.7;5.3;-1.6;2.7;10.6
hidrocarburos;fuels;-6;-1.1;-7.1;-2.9;-4.3;-5.4;-4.3;12.7;25.5;7.1;34.1;37.9;23.7
manufactura;manufacturing;5.7;1.3;2.1;1.1;2.4;5.2;6;6.3;9.1;6.7;6.2;7.3;6
procesadores de recursos primarios;based on raw materials;1.5;-0.5;1.3;-2.1;-0.1;2.9;9.3;4.2;6.5;5.9;-0.8;-0.4;-1.1
industria no primaria;non primary industries;6.7;1.8;2.3;2;3.1;5.8;5;6.8;9.8;6.9;7.7;9.4;7.5
electricidad y agua;electricity and water;5.7;4.8;5.1;4;4.9;4.9;4.4;4.1;4.9;4.6;3.8;5.6;5.7
construcción;construction;4.1;6;3.1;3.9;4.2;7;4;3.5;4.4;4.7;2.8;7.4;10.5
comercio;commerce;7.3;2.9;1.9;0.9;3.2;3.4;2.1;5.4;9.2;4.8;7.1;6.4;4.6
otros servicios;other services;6.1;4.5;3.4;4.6;4.6;4.5;2.6;5.2;6.5;4.7;7.4;5.3;5
vab;gross aggregated value;5.4;3.9;3.1;2.9;3.8;5;2.4;4.6;6.8;4.6;5.9;6;5.9
impuestos a los productos y derechos de importación;taxes on products and import duties;9.1;2.8;4.5;5;5.2;3;12;6.3;4.6;6.4;7.2;5;5.4
pbi;gdp;5.8;3.8;3.3;3.2;4;4.8;3.2;4.7;6.6;4.8;6;5.9;5.8
sectores primarios;primary sectors;2.1;4.2;3.8;1.2;2.9;6.4;0.2;1.6;5;3.1;1.7;4.7;6.2
sectores no primarios;non-primary sectors;6.3;3.8;3;3.4;4.1;4.7;3;5.3;7.3;5.1;7;6.1;5.8
