sectores_economicos;economic_sectors;2006_1;2006_2;2006_3;2006_4;2006_year;2007_1;2007_2;2007_3;2007_4;2007_year;2008_1;2008_2;2008_3
agropecuario;agriculture and livestock;4.2;6.4;13.3;10.7;8.4;8.4;2.3;-1.4;5;3.3;3.6;6.6;7.3
agrícola;agriculture;2.5;5.5;15.4;13.5;8.4;6;1.1;-4.5;7.2;2;4.4;6.9;8.1
pecuario;livestock;6.3;8.9;10.4;7.3;8.2;10.7;5.1;2.8;2.9;5.3;2.5;5.9;6.2
pesca;fishing;25.9;-10.5;16.3;-5;2.4;14.5;9.4;-5.3;5.6;6.9;5.3;2.9;8.5
minería e hidrocarburos;mining and fuel;6.5;8;0;-7.3;1.4;-1;-1.4;5.2;7.8;2.7;6.2;10;7.5
minería metálica;metals;7.3;8.6;-0.9;-8.6;1.1;-2.7;-2.9;5.5;6.7;1.7;6.7;10.6;7.2
hidrocarburos;fuels;0.4;2.7;10;9.1;5.7;10.6;5.8;0.6;9.7;6.5;2;4.9;9.9
manufactura;manufacturing;7.6;4;8.9;9.7;7.5;9.7;11.2;10.3;11.9;10.8;9.9;10;7.4
procesadores de recursos primarios;based on raw materials;9.6;0.1;6.5;2;4.1;0.9;4.6;-2.9;-0.5;0.7;11.7;3.8;1.4
industria no primaria;non primary industries;7.1;5.2;9.5;11.9;8.5;11.2;14.5;13;13.3;13;9.5;11.3;8.4
electricidad y agua;electricity and water;7.4;4.9;7.5;7.7;6.9;8.1;9.7;8.1;7.9;8.5;9.3;8.5;8.8
construcción;construction;16.1;13.2;16.1;13.7;14.8;9;20.1;17.8;19.1;16.6;18.7;20.9;15.9
comercio;commerce;11;8.8;13.6;13.7;11.7;11.6;6.5;11.5;9.6;9.7;11.6;14.6;13
otros servicios;other services;6.4;4.7;7;9.1;6.8;8.4;9;9.1;9.2;8.9;9.5;10.4;8.9
pbi;gdp;7.7;5.8;8.7;8.9;7.7;8.5;8.1;8.9;9.8;8.9;9.7;11;9.5
sectores primarios;primary sectors;6.5;5.2;7.1;1.3;5;3.8;1.8;0.6;5;2.7;6;7;6.4
sectores no primarios;non-primary sectors;7.9;6;9.1;10.5;8.4;9.6;9.8;10.7;10.8;10.2;10.5;12;10.1
