SECTORES ECONÓMICOS;2008;;;;;2009;;;;;2010;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;
;;;;;;;;;;;;
Agropecuario;4.048808877;8.013706611;9.434138024;7.10408736;7.246667762;4.429367133;1.143813637;2.30932233;1.907131825;2.29442892;3.762913298;Agriculture and Livestock
  Agrícola;4.633263727;8.364017576;10.41574376;5.137462593;7.359216634;3.553277809;-0.211657098;0.440828012;0.782991998;0.906907626;3.917724096;  Agriculture
  Pecuario;1.976657842;6.266482849;7.251445521;8.517343642;6.015017884;5.57348479;4.230426229;4.705894361;3.188107583;4.404016489;3.517367829;  Livestock
;;;;;;;;;;;;
Pesca;3.87065036;1.920163372;21.12349321;4.550143974;6.309650901;-14.23795401;1.390173094;-6.072368926;-14.61974217;-7.900522026;-14.18347308;Fishing
;;;;;;;;;;;;
Minería e Hidrocarburos;6.111596468;9.916995028;7.701350223;6.877406647;7.638185114;3.706296166;0.533098767;0.105810417;-1.582703632;0.601765922;0.117318086;Mining and fuel
  Minería metálica;6.696864092;10.62198105;7.235508207;4.864354413;7.284922073;0.867342541;-1.033691986;-2.027801891;-3.229518461;-1.413992054;-1.330036178;  Metals
  Hidrocarburos;2.004173967;4.917874634;9.949940032;22.79951118;10.27969953;30.36294844;16.72368159;18.42922653;3.366432835;16.1374716;10.95109349;  Fuel
;;;;;;;;;;;;
Manufactura;10.79859959;11.35351156;10.48184652;4.033241028;9.058483633;-4.203156627;-11.5648928;-10.32764827;-2.334062623;-7.151212642;7.252197385;Manufacturing
  De procesamiento de recursos primarios;12.49075378;5.406127985;3.370316956;9.390658188;7.612445659;3.914321828;2.164164139;0.696016588;-6.273416533;0.034927416;-5.613388579;  Based on raw materials 2/
  No primaria;10.24347077;12.32532361;11.08252969;2.264272639;8.859329052;-5.670936315;-14.35731386;-12.0681673;-1.568252188;-8.515280074;9.852204244;  Non-primary
;;;;;;;;;;;;
Electricidad y agua;9.269914016;8.415127544;8.783841327;5.061918743;7.846561044;1.211372688;0.307371746;-0.257763115;3.42352541;1.177775521;6.362889992;Electricity and water 
;;;;;;;;;;;;
Construcción;19.23837376;21.22070732;15.96515664;10.74956818;16.45705256;5.140087813;-1.070500051;4.895381755;14.81984396;6.147241617;16.7707837;Construction
;;;;;;;;;;;;
Comercio;12.00846652;15.71583099;15.16508493;8.921223429;12.99534964;0.399550391;-2.121059499;-1.766998048;2.173222804;-0.399862142;8.130247947;Commerce
;;;;;;;;;;;;
Otros servicios 2/;10.21552083;10.73497554;9.764066811;6.052654217;9.102269286;3.651506048;1.735174713;1.7728893;5.186119251;3.101386694;4.912032173;Other services 2/
;;;;;;;;;;;;
PBI;10.29208948;11.69831267;10.88759246;6.499821277;9.803707129;1.900872795;-1.198545815;-0.587600615;3.44393321;0.861695031;6.040712739;GDP
;;;;;;;;;;;;
PBI de los sectores primarios;6.186292377;7.920715529;8.053433231;7.351618275;7.414540443;3.504378176;1.140274107;1.04076583;-1.41362284;1.035616744;0.343608057;Primary sectors gross domestic product
PBI de los sectores no primarios;11.12967231;12.60501511;11.43948893;6.34055528;10.29635003;1.588308674;-1.736559117;-0.895058035;4.360817327;0.826769622;7.172169321;Non- primary sectors gross domestic product
