SECTORES ECONÓMICOS;2009;;;;;2010;;;;;2011;;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;II;
;;;;;;;;;;;;;
Agropecuario;4.429367133;1.143813637;2.30932233;1.907131825;2.29442892;3.846833706;4.428734604;2.378505492;6.563876766;4.286827564;3.102666324;2.435761349;Agriculture and Livestock
  Agrícola;3.553277809;-0.211657098;0.440828012;0.782991998;0.906907626;3.937745248;4.205884873;2.072302781;6.719206861;4.176112876;-0.321123221;0.992687406;  Agriculture
  Pecuario;5.57348479;4.230426229;4.705894361;3.188107583;4.404016489;3.723188976;4.868573929;2.764359212;6.37260151;4.437536655;7.526083031;5.523790305;  Livestock
;;;;;;;;;;;;;
Pesca;-14.23795401;1.390173094;-6.072368926;-14.61974217;-7.900522026;-8.249842112;-9.713663155;-27.01910977;-25.31402536;-16.44431964;14.06037543;19.91303894;Fishing
;;;;;;;;;;;;;
Minería e Hidrocarburos;3.706610813;0.531497076;0.108067129;-1.582703642;0.602036673;1.14483093;1.724175238;-2.300116675;-0.999452143;-0.148622392;-0.345086222;-2.492546419;Mining and fuel
  Minería metálica;0.867715144;-1.035150448;-2.023763251;-3.229518474;-1.413138381;-1.011912785;-2.280387938;-8.410143531;-7.627251152;-4.908845891;-5.671143901;-8.010345114;  Metals
  Hidrocarburos;30.36294844;16.72368159;18.41315129;3.366432835;16.13333426;11.04395749;22.25562822;37.42024177;44.782021;29.45930623;34.6332778;31.47996003;  Fuel
;;;;;;;;;;;;;
Manufactura;-4.203156627;-11.5648928;-10.32764827;-2.334062623;-7.151212642;7.466777138;16.84589694;17.35702898;12.95182616;13.61666709;12.09752797;5.592101953;Manufacturing
  De procesamiento de recursos primarios;3.914321828;2.164164139;0.696016588;-6.273416533;0.034927416;-5.597609129;-1.863990301;2.366732141;-3.735263272;-2.338641499;12.26575652;11.04428616;  Based on raw materials 2/
  No primaria;-5.670936315;-14.35731386;-12.0681673;-1.568252188;-8.515280074;10.09247833;21.41682209;20.06104304;16.16842832;16.88936506;12.07363979;4.534615204;  Non-primary
;;;;;;;;;;;;;
Electricidad y agua;1.211618654;0.320183689;-0.258733606;3.470025043;1.192526239;6.460632141;8.625139917;8.432117751;7.26832794;7.689145453;7.20606391;7.238644951;Electricity and water 
;;;;;;;;;;;;;
Construcción;5.140087813;-1.070500051;4.895381755;14.81984396;6.147241617;16.77208228;21.52393704;16.56296436;15.49780168;17.43063374;8.058260497;0.386525416;Construction
;;;;;;;;;;;;;
Comercio;0.399550391;-2.121059499;-1.766998048;2.173222804;-0.399862142;8.130247947;10.97958235;9.600195519;9.871182642;9.687805823;10.03839133;8.80465501;Commerce
;;;;;;;;;;;;;
Otros servicios 2/;3.651456873;1.734834137;1.772631315;5.184230889;3.100723207;4.90356944;8.849392373;9.267939459;8.902707005;8.045119026;9.268378606;8.911829368;Other services 2/
;;;;;;;;;;;;;
PBI;1.900872795;-1.198545815;-0.587600615;3.44393321;0.861695031;6.162265757;10.02214922;9.600906505;9.203051522;8.794749774;8.733725809;6.729883022;GDP
;;;;;;;;;;;;;
PBI de los sectores primarios;3.504488542;1.139809425;1.041639978;-1.413622844;1.035711809;0.897474181;2.202528457;0.003398927;1.08534721;1.11501688;3.677112092;2.858112249;Primary sectors gross domestic product
PBI de los sectores no primarios;1.588287161;-1.736459368;-0.895209993;4.360817328;0.826750753;7.207865413;11.87362233;11.44838144;10.65052059;10.3401117;9.678869136;7.567364666;Non- primary sectors gross domestic product
