SECTORES ECONÓMICOS;2009;;;;;2010;;;;;2011;;;;;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;II;III;IV;AÑO;
;;;;;;;;;;;;;;;;
Agropecuario;4.429367133;1.143813637;2.30932233;1.907131825;2.29442892;3.846833706;4.428734604;2.378505492;6.563876766;4.286827564;3.049282313;2.871059147;7.234301168;2.321170188;3.777913045;Agriculture and Livestock
  Agrícola;3.553277809;-0.211657098;0.440828012;0.782991998;0.906907626;3.937745248;4.205884873;2.072302781;6.557337316;4.144685913;0.27330985;1.085396805;10.33679216;0.903970057;2.83303905;  Agriculture
  Pecuario;5.57348479;4.230426229;4.705894361;3.188107583;4.404016489;3.723188976;4.868573929;2.764359212;6.37260151;4.437536655;6.641089714;6.693082923;3.496098582;4.03120211;5.192287046;  Livestock
;;;;;;;;;;;;;;;;
Pesca;-14.23795401;1.390173094;-6.072368926;-14.61974217;-7.900522026;-8.249842112;-9.713663155;-27.01910977;-25.31402536;-16.44431964;12.25685893;20.7646321;65.95461469;36.60353323;29.70306397;Fishing
;;;;;;;;;;;;;;;;
Minería e Hidrocarburos;3.706610813;0.531497076;0.108067129;-1.582703642;0.602036673;1.14483093;1.724175238;-2.300115505;-0.999452143;-0.148622093;-0.294535778;-2.268210669;0.870709883;0.879222138;-0.194783405;Mining and fuel
  Minería metálica;0.867715144;-1.035150448;-2.023763251;-3.229518474;-1.413138381;-1.005454591;-2.272066627;-8.193694344;-7.40645921;-4.793432065;-5.624264169;-7.696292792;-1.131322575;0.189025955;-3.597240372;  Metals
  Hidrocarburos;30.36294844;16.72368159;18.41315129;3.366432835;16.13333426;11.04395749;22.25562822;37.42024177;44.782021;29.45930623;34.63336364;31.47975505;10.35857523;3.728804021;18.09837874;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;-4.203156627;-11.5648928;-10.32764827;-2.334062623;-7.151212642;7.466777138;16.84589694;17.35702898;12.95182616;13.61666709;12.28195157;5.969810345;3.768811122;1.011808335;5.575074727;Manufacturing
  De procesamiento de recursos primarios;3.914321828;2.164164139;0.696016588;-6.273416533;0.034927416;-5.597609129;-1.863990301;2.366732141;-3.735263272;-2.338641499;11.55255769;11.97139508;14.65674574;11.31016395;12.3212582;  Based on raw materials 2/
  No primaria;-5.670936315;-14.35731386;-12.0681673;-1.568252188;-8.515280074;10.09247833;21.41682209;20.06104304;16.16842832;16.88936506;12.41495795;4.805177836;2.093910265;-0.651479602;4.431212116;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;1.211618654;0.320183689;-0.258733606;3.470025043;1.192526239;6.460632141;8.625139917;8.432117751;7.26832794;7.689145453;7.303606411;7.393883293;7.748527932;7.173964486;7.403245973;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;5.140087813;-1.070500051;4.895381755;14.81984396;6.147241617;16.77208228;21.52393704;16.56296436;15.49780168;17.43063374;8.058260497;0.37208559;1.817291915;3.77721285;3.4289948;Construction
;;;;;;;;;;;;;;;;
Comercio;0.399550391;-2.121059499;-1.766998048;2.173222804;-0.399862142;8.130247947;10.97958235;9.600195519;9.871182642;9.687805823;10.33113186;8.84972783;8.593919537;7.583665626;8.825867808;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;3.651456873;1.734834137;1.772631315;5.184230889;3.100723207;4.90356944;8.849392373;9.267939459;8.902707005;8.045119026;9.302498746;8.96376474;7.953338036;7.141209191;8.29376931;Other services 2/
;;;;;;;;;;;;;;;;
PBI;1.900872795;-1.198545815;-0.587600615;3.44393321;0.861695031;6.162265757;10.02214922;9.600906575;9.203051522;8.794749791;8.817524729;6.874685281;6.690951695;5.490458805;6.912333292;GDP
;;;;;;;;;;;;;;;;
PBI de los sectores primarios;3.504488542;1.139809425;1.041639978;-1.413622844;1.035711809;0.897474181;2.202528457;0.003399359;1.08534721;1.115016982;3.509028545;3.32156349;7.052580522;3.964191361;4.387976302;Primary sectors gross domestic product
PBI de los sectores no primarios;1.588287161;-1.736459368;-0.895209993;4.360817328;0.826750753;7.207865413;11.87362233;11.44838144;10.65052059;10.3401117;9.809747988;7.6432417;6.628488509;5.73908189;7.377830526;Non- primary sectors gross domestic product
