SECTORES ECONÓMICOS;2010;;;;;2011;;;;;2012;;;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;II;II;
;;;;;;;;;;;;;;
Agropecuario;3.846833706;4.428734604;2.378505492;6.563876766;4.286827564;3.049282313;2.871059147;7.234301168;2.321170188;3.777913045;2.623293498;6.987735891;3.089708412;Agriculture and Livestock
  Agrícola;3.937745248;4.205884873;2.072302781;6.557337316;4.144685913;0.27330985;1.928667329;10.05685678;0.903970057;3.091429037;1.057629422;8.201562269;0.43871023;  Agriculture
  Pecuario;3.723188976;4.868573929;2.764359212;6.37260151;4.437536655;6.641089714;6.783425869;3.630831279;4.03120211;5.24883274;4.520573644;4.593194952;6.46986868;  Livestock
;;;;;;;;;;;;;;
Pesca;-8.249842112;-9.713663155;-27.01910977;-25.31402536;-16.44431964;12.25685893;20.7646321;65.94191968;36.60353323;29.70090031;-9.724590889;-11.67757875;0.677680872;Fishing
;;;;;;;;;;;;;;
Minería e Hidrocarburos;1.143472525;1.724177983;-2.299979817;-0.992876445;-0.14711;-0.292028967;-2.268165934;0.870596687;0.875352337;-0.195345333;3.497958094;4.118726102;3.282440526;Mining and fuel
  Minería metálica;-1.007298752;-2.272071127;-8.193624673;-7.402366817;-4.792478413;-5.622157038;-7.696308894;-1.131514212;0.183515025;-3.598691022;3.437183805;4.779371489;3.021673547;  Metals
  Hidrocarburos;11.04409197;22.25547232;37.42030069;44.78202159;29.45931916;34.63326678;31.4799639;10.35860229;3.728791953;18.09840697;3.67674468;1.209162398;4.432214694;  Fuel
;;;;;;;;;;;;;;
Manufactura;7.466777138;16.84589694;17.35702898;12.95182616;13.61666709;12.28195157;5.969810345;3.768811122;1.011808335;5.575074727;-0.718459739;0.152682425;3.531744118;Manufacturing
  De procesamiento de recursos primarios;-5.597609129;-1.863990301;2.366732141;-3.735263272;-2.338641499;11.55255769;11.97139508;14.65674574;11.31016395;12.3212582;-3.209255811;-11.22653829;-3.228594394;  Based on raw materials 2/
  No primaria;10.09247833;21.41682209;20.06104304;16.16842832;16.88936506;12.41495795;4.805177836;2.093910265;-0.651479602;4.431212116;-0.281664489;2.540276036;4.713692331;  Non-primary
;;;;;;;;;;;;;;
Electricidad y agua;6.460632141;8.625139917;8.432117751;7.26832794;7.689145453;7.303606411;7.393883293;7.730786095;7.19272703;7.403665315;6.26278651;5.040804839;5.06403235;Electricity and water 
;;;;;;;;;;;;;;
Construcción;16.77208228;21.52393704;16.56296436;15.49780168;17.43063374;8.058260497;0.37208559;1.817291915;3.77721285;3.4289948;12.48017472;16.64946274;19.2427209;Construction
;;;;;;;;;;;;;;
Comercio;8.130247947;10.97958235;9.600195519;9.871182642;9.687805823;10.33113186;8.84972783;8.593919537;7.583665626;8.825867808;7.911855922;6.400104935;6.207437419;Commerce
;;;;;;;;;;;;;;
Otros servicios 2/;4.903655;8.849385094;9.267896867;8.901222378;8.044729436;9.302000327;8.96374639;7.954070952;7.140486408;8.293623759;7.587622389;7.17842904;6.739048585;Other services 2/
;;;;;;;;;;;;;;
PBI;6.162265757;10.02214922;9.600906505;9.203051522;8.794749774;8.817525755;6.874683731;6.690921169;5.490459254;6.912325712;6.01553831;6.285650036;6.540537823;GDP
;;;;;;;;;;;;;;
PBI de los sectores primarios;0.896981784;2.202530392;0.003465077;1.088321641;1.115627613;3.510161451;3.321589533;7.052373866;3.963446864;4.388055537;1.555254929;2.553898148;2.028087469;Primary sectors gross domestic product
PBI de los sectores no primarios;7.207886998;11.87361635;11.44835375;10.64956846;10.33984958;9.809460118;7.643231943;6.628488855;5.739140639;7.377768912;6.801334138;7.060435575;7.323054225;Non- primary sectors gross domestic product
