year;id_ns;table_number
1994;1;55
1994;4;55
1994;9;55
1994;12;
1994;13;55
1994;17;55
1994;21;56
1994;25;56
1994;28;56
1994;33;56
1994;37;56
1994;42;57
1994;47;57
1995;1;57
1995;6;59
1995;10;60
1995;14;60
1995;17;60
1995;22;60
1995;26;62
1995;30;62
1995;35;62
1995;39;62
1995;44;62
1995;48;62
1996;1;66
1996;7;66
1996;10;67
1996;14;69
1996;18;69
1996;22;69
1996;24;69
1996;27;69
1996;31;70
1996;36;70
1996;41;70
1996;44;70
1996;49;70
1997;3;51
1997;7;51
1997;11;51
1997;14;51
1997;18;51
1997;22;50
1997;25;50
1997;26;50
1997;28;55
1997;29;55
1997;33;55
1997;38;55
1997;42;55
1997;46;55
1998;1;55
1998;6;57
1998;10;57
1998;14;57
1998;18;57
1998;22;58
1998;26;58
1998;30;58
1998;34;58
1998;39;58
1998;43;58
1998;47;58
1999;1;58
1999;6;58
1999;10;58
1999;14;59
1999;18;59
1999;22;59
1999;25;59
1999;26;59
1999;30;59
1999;31;59
1999;34;59
1999;39;59
1999;43;59
1999;45;59
1999;48;59
2000;2;50
2000;6;51
2000;10;51
2000;14;51
2000;18;51
2000;20;51
2000;22;51
2000;28;52
2000;29;52
2000;30;52
2000;35;52
2000;39;52
2000;43;52
2000;47;52
2001;2;53
2001;6;54
2001;10;54
2001;14;54
2001;18;54
2001;22;59
2001;26;60
2001;30;63
2001;32;63
2001;34;63
2001;39;63
2001;43;63
2001;47;63
2002;2;63
2002;7;63
2002;8;63
2002;11;63
2002;14;63
2002;18;63
2002;23;63
2002;27;63
2002;31;63
2002;33;63
2002;36;63
2002;40;63
2002;46;63
2002;49;63
2003;2;60
2003;7;60
2003;8;60
2003;11;60
2003;15;61
2003;19;61
2003;23;61
2003;24;61
2003;27;61
2003;31;61
2003;35;61
2003;39;61
2003;44;61
2003;48;61
2004;3;62
2004;7;62
2004;11;62
2004;15;62
2004;19;62
2004;23;65
2004;28;65
2004;31;65
2004;36;65
2004;40;65
2004;44;65
2004;49;65
2005;3;65
2005;7;65
2005;11;70
2005;15;70
2005;19;70
2005;23;70
2005;26;70
2005;28;70
2005;31;70
2005;36;70
2005;40;70
2005;44;70
2005;49;70
2006;3;70
2006;8;70
2006;12;70
2006;15;70
2006;19;70
2006;24;70
2006;26;70
2006;28;70
2006;31;70
2006;36;70
2006;40;70
2006;45;70
2006;49;70
2007;3;70
2007;8;70
2007;12;72
2007;15;72
2007;19;72
2007;23;72
2007;24;74
2007;28;74
2007;32;74
2007;36;74
2007;40;74
2007;45;74
2007;49;74
2008;3;74
2008;8;74
2008;9;74
2008;12;74
2008;15;74
2008;20;74
2008;24;74
2008;28;74
2008;32;74
2008;36;74
2008;41;74
2008;45;74
2008;49;74
2009;3;74
2009;7;74
2009;11;74
2009;15;74
2009;19;74
2009;20;74
2009;23;74
2009;28;74
2009;31;74
2009;35;74
2009;40;74
2009;44;74
2009;48;74
2010;3;74
2010;7;74
2010;8;62
2010;11;62
2010;15;62
2010;19;62
2010;23;62
2010;28;62
2010;31;62
2010;36;62
2010;40;62
2010;44;62
2010;48;62
2011;3;62
2011;7;62
2011;11;62
2011;16;62
2011;19;62
2011;23;62
2011;24;62
2011;28;62
2011;31;62
2011;36;62
2011;40;62
2011;44;62
2011;49;62
2012;3;62
2012;8;62
2012;12;62
2012;15;62
2012;19;62
2012;24;62
2012;28;62
2012;31;62
2012;36;62
2012;40;62
2012;45;62
2012;49;62
2013;3;62
2013;8;62
2013;12;62
2013;15;62
2013;20;62
2013;24;62
2013;28;62
2013;32;62
2013;36;62
2013;40;62
2013;45;62
2013;49;62
2014;3;62
2014;7;62
2014;11;62
2014;15;62
2014;19;62
2014;23;62
2014;27;62
2014;31;62
2014;35;62
2014;40;62
2014;44;62
2014;48;62
2015;3;62
2015;7;62
2015;11;62
2015;15;62
2015;19;62
2015;23;62
2015;27;62
2015;31;62
2015;35;62
2015;39;62
2015;43;62
2015;47;62
2016;3;62
2016;7;62
2016;11;62
2016;15;62
2016;19;62
2016;23;62
2016;28;62
2016;31;62
2016;36;62
2016;40;62
2016;44;62
2016;48;62
2017;3;62
2017;8;62
2017;12;62
2017;15;62
2017;19;62
2017;24;62
2017;28;62
2017;31;62
2017;36;62
2017;40;62
2017;45;62
2017;49;62
2018;2;62
2018;7;62
2018;11;62
2018;14;62
2018;18;62
2018;23;62
2018;27;62
2018;31;62
2018;32;62
2018;36;62
2018;40;62
2018;45;62
2018;49;62
2019;2;62
2019;7;62
2019;10;62
2019;13;62
2019;15;62
2019;16;62
2019;20;62
2019;23;62
2019;26;62
2019;29;62
2019;32;62
2019;36;62
2019;39;62
2020;2;62
2020;6;62
2020;10;62
2020;14;62
2020;19;62
2020;23;62
2020;27;62
2020;31;62
2020;35;62
2020;39;62
2020;42;62
2020;46;62
2021;3;62
2021;7;62
2021;11;62
2021;15;62
2021;19;62
2021;23;62
2021;27;62
2021;30;62
2021;34;62
2021;37;62
2021;41;62
2021;46;62
2022;3;62
2022;7;62
2022;11;62
2022;15;62
2022;16;62
2022;19;62
2022;23;62
2022;26;62
2022;29;62
2022;33;62
2022;36;62
2022;40;62
2022;44;62
2023;3;62
2023;7;62
2023;8;62
2023;11;62
2023;13;62
2023;15;62
2023;17;62
2023;22;62
2023;25;62
2023;28;62
2023;32;62
2023;35;62
2023;40;62
2023;43;62
2024;3;62
2024;8;62
2024;11;62
2024;14;62
2024;17;62
2024;19;62
2024;22;62
