año;ns requerido;cuadro
1994;3;55
1994;6;55
1994;9;55
1994;12;
1994;13;55
1994;20;55
1994;22;56
1994;25;56
1994;31;56
1994;33;56
1994;37;56
1994;43;57
1994;49;57
1995;1;57
1995;7;59
1995;13;60
1995;16;60
1995;20;60
1995;25;60
1995;27;62
1995;31;62
1995;38;62
1995;43;62
1995;44;62
1995;48;62
1996;5;66
1996;9;66
1996;10;67
1996;15;69
1996;18;69
1996;22;69
1996;27;69
1996;35;70
1996;39;70
1996;41;70
1996;44;70
1996;49;70
1997;1;51
1997;6;51
1997;15;51
1997;21;51
1997;24;50
1997;32;55
1997;33;55
1997;48;55
1997;49;55
1998;11;57
1998;22;57
1998;32;58
1998;45;58
1999;8;58
1999;20;58
1999;21;59
1999;23;59
1999;24;59
1999;25;59
1999;31;59
1999;45;59
2000;8;50
2000;20;51
2000;29;52
2000;32;52
2000;45;52
2001;8;52
2001;20;59
2001;26;60
2001;32;63
2001;34;63
2001;44;63
2002;8;63
2002;11;63
2002;20;63
2002;33;63
2002;46;63
2003;8;60
2003;19;60
2003;23;60
2003;27;60
2003;31;61
2003;44;61
2004;7;62
2004;19;62
2004;31;62
2004;44;62
2005;8;65
2005;19;65
2005;26;70
2005;31;70
2005;44;70
2006;8;70
2006;19;70
2006;21;70
2006;26;70
2006;31;70
2006;45;70
2007;8;70
2007;20;70
2007;23;72
2007;33;72
2007;46;72
2008;9;74
2008;21;74
2008;25;74
2008;33;74
2008;46;74
2009;8;74
2009;20;74
2009;32;74
2009;45;74
2010;8;74
2010;20;74
2010;32;62
2010;45;62
2011;8;62
2011;11;62
2011;20;62
2011;23;62
2011;32;62
2011;45;62
2012;8;62
2012;20;62
2012;32;62
2012;45;62
2013;8;62
2013;17;62
2013;20;62
2013;32;62
2013;36;62
2013;45;62
2014;7;62
2014;19;62
2014;31;62
2014;44;62
2015;7;62
2015;19;62
2015;31;62
2015;43;62
2016;7;62
2016;17;62
2016;19;62
2016;31;62
2016;44;62
2017;8;62
2017;19;62
2017;24;62
2017;32;62
2017;45;62
2018;7;62
2018;18;62
2018;32;62
2018;45;62
2019;7;62
2019;17;62
2019;26;62
2019;36;62
2020;6;62
2020;19;62
2020;31;62
2020;42;62
2021;19;62
2021;30;62
2021;41;62
2022;7;62
2022;16;62
2022;19;62
2022;29;62
2022;40;62
2023;8;62
2023;15;62
2023;17;62
2023;29;62
2023;40;62
2024;8;62
2024;17;62
2024;19;62
